,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.019245507,0.014294129,-0.0005473786,2.6691518e-05,24,0.12244897959183673,0.9500957131385803,0.8370610475540161,0.9739230871200562,0.11303466558456421,-0.02382737398147583,True,True,True,0.1189718720139905,-0.02507891957828504
sample_1,0,-0.017484572,0.014094639,-0.00081604486,-3.105699e-05,21,0.10714285714285714,0.946395754814148,0.9024393558502197,0.9679701328277588,0.04395639896392822,-0.02157437801361084,True,True,True,0.04644610749818962,-0.022796359666519838
sample_2,0,-0.017620936,0.009803942,-0.0007856662,-0.00011411304,21,0.10714285714285714,0.9427314400672913,0.948227047920227,0.9399663209915161,-0.005495607852935791,0.0027651190757751465,True,True,True,-0.005829452184753189,0.00293309309338169
sample_3,0,-0.020159025,0.012693832,-0.00074061623,-8.7083536e-05,22,0.11224489795918367,0.9480113387107849,0.9803566336631775,0.9234866499900818,-0.03234529495239258,0.024524688720703125,True,True,True,-0.03411910135629753,0.02586961539305492
sample_4,0,-0.026793176,0.013946635,-0.00081021735,-0.00020246083,21,0.10714285714285714,0.9471681714057922,0.977661669254303,0.9664891958236694,-0.030493497848510742,-0.019321024417877197,True,True,True,-0.03219438613868551,-0.020398726436511087
sample_5,0,-0.028138148,0.05650883,-0.0008965147,-0.00024251617,21,0.10714285714285714,0.966270387172699,0.9550265073776245,0.9648666977882385,0.011243879795074463,0.0014036893844604492,True,True,True,0.011636370051631184,0.0014526879878494832
sample_6,0,-0.01570288,0.041004784,-0.0005026803,-0.00025143859,19,0.09693877551020408,0.9871774911880493,0.986976683139801,0.984599769115448,0.00020080804824829102,0.0025777220726013184,True,True,True,0.00020341635626904575,0.0026112042622640015
sample_7,0,-0.01721502,0.055358887,-0.00044097294,-0.00013545546,20,0.10204081632653061,0.9858697652816772,0.9710005521774292,0.9906864762306213,0.014869213104248047,-0.004816710948944092,True,True,True,0.01508232996677781,-0.004885747710873239
sample_8,0,-0.029402155,0.095051564,-0.0005331163,-0.0005766337,17,0.08673469387755102,0.9499373435974121,0.9775562882423401,0.9517059922218323,-0.02761894464492798,-0.001768648624420166,True,True,True,-0.029074490892562505,-0.001861858191322698
sample_9,0,-0.06285682,0.11155178,-0.001019863,-0.00084425294,18,0.09183673469387756,0.908511757850647,0.9467992186546326,0.9665775895118713,-0.038287460803985596,-0.058065831661224365,True,True,True,-0.04214305480709011,-0.06391313173381075
sample_10,0,-0.19294304,0.11298103,-0.0028526743,-0.0014192639,18,0.09183673469387756,0.7029452919960022,0.7571316361427307,0.7561694383621216,-0.054186344146728516,-0.053224146366119385,True,True,True,-0.07708472446392982,-0.07571591555153638
sample_11,0,-0.08964005,0.049553018,-0.0018063663,-0.00075598795,17,0.08673469387755102,0.8905636072158813,0.8647453188896179,0.9796383380889893,0.025818288326263428,-0.08907473087310791,True,True,True,0.028990953725335444,-0.10002062755694363
sample_12,0,-0.03595632,0.065362506,-0.0013643717,-0.00083296146,16,0.08163265306122448,0.9049097299575806,0.8735616207122803,0.9382579922676086,0.03134810924530029,-0.033348262310028076,False,False,False,0.03464225016872102,-0.036852584524194855
sample_13,0,-0.028160753,0.021822331,-0.00061531435,-0.0003685769,16,0.08163265306122448,0.9480711221694946,0.936917781829834,0.9283483028411865,0.011153340339660645,0.019722819328308105,False,False,False,0.011764244347131025,0.020803101019653346
sample_14,0,-0.013947547,0.00975888,-0.00044492004,-0.00020395477,18,0.09183673469387756,0.9666828513145447,0.9639202952384949,0.9593480825424194,0.0027625560760498047,0.007334768772125244,False,False,False,0.0028577687835189586,0.007587564796614579
sample_15,0,-0.007131295,0.010580803,-0.00027615565,-0.00012978478,18,0.09183673469387756,0.9751161336898804,0.8732826113700867,0.9721392393112183,0.1018335223197937,0.0029768943786621094,False,False,False,0.10443219920323887,0.003052861372929413
sample_16,0,-0.007829785,0.008329752,-0.0002459593,-4.189802e-05,21,0.10714285714285714,0.981903612613678,0.9541655778884888,0.98200523853302,0.02773803472518921,-0.00010162591934204102,False,False,False,0.028249243987762487,-0.00010349887507952871
sample_17,0,-0.009061602,0.010497711,-0.0003042794,-6.523961e-05,22,0.11224489795918367,0.9878765344619751,0.970403790473938,0.947909951210022,0.01747274398803711,0.039966583251953125,False,False,False,0.01768717383043545,0.04045706306175197
sample_18,0,-0.010644948,0.013190585,-0.00039240695,-0.00011662381,21,0.10714285714285714,0.9874753355979919,0.9183311462402344,0.9598488807678223,0.06914418935775757,0.027626454830169678,False,False,False,0.0700211811527277,0.027976855557045124
sample_19,0,-0.017337335,0.018198064,-0.0005173026,-1.8388608e-05,22,0.11224489795918367,0.984174907207489,0.9389525055885315,0.9819024801254272,0.04522240161895752,0.0022724270820617676,True,True,True,0.04594955763226291,0.002308966694253141
sample_20,0,-0.01502896,0.013231769,-0.0005465757,-3.727019e-05,22,0.11224489795918367,0.9848029017448425,0.9291864633560181,0.8707982897758484,0.05561643838882446,0.11400461196899414,True,True,True,0.05647468979862369,0.11576388713620196
sample_21,0,-0.02611248,0.031410284,-0.00065414014,-4.0166116e-05,22,0.11224489795918367,0.9853261709213257,0.958869218826294,0.9307342171669006,0.02645695209503174,0.05459195375442505,True,True,True,0.026850958470222362,0.055404956617948184
sample_22,0,-0.029017404,0.013466741,-0.00068374706,-0.00016798236,20,0.10204081632653061,0.9843107461929321,0.9772229790687561,0.977257490158081,0.007087767124176025,0.007053256034851074,True,True,True,0.007200741383338277,0.007165680210371882
sample_23,0,-0.03437267,0.01893052,-0.0006802368,-0.0001330019,19,0.09693877551020408,0.9813584685325623,0.9731574058532715,0.914752185344696,0.008201062679290771,0.06660628318786621,True,True,True,0.00835684710761596,0.06787151211673287
sample_24,0,-0.033349406,0.021620428,-0.0005891286,-1.232398e-05,22,0.11224489795918367,0.9847415089607239,0.97929447889328,0.9919689297676086,0.005447030067443848,-0.007227420806884766,True,True,True,0.005531431363335676,-0.007339409115101118
sample_25,0,-0.02633866,0.0125968205,-0.00042901855,4.334569e-06,23,0.11734693877551021,0.9918248057365417,0.9333990216255188,0.9765571355819702,0.05842578411102295,0.015267670154571533,True,True,True,0.05890736324913271,0.015393515131166302
sample_26,0,-0.016126996,0.008701821,-0.0005002555,-4.28804e-05,21,0.10714285714285714,0.9949054718017578,0.9908139109611511,0.9957602620124817,0.0040915608406066895,-0.000854790210723877,True,True,True,0.004112512149719047,-0.0008591672625700466
sample_27,0,-0.067780405,0.04795847,-0.0018543376,0.00015032919,24,0.12244897959183673,0.9915816187858582,0.9202521443367004,0.9616808891296387,0.07132947444915771,0.029900729656219482,True,True,True,0.07193505113224777,0.030154582426438505
sample_28,0,-0.13155289,0.10605563,-0.004905099,-0.00072130666,21,0.10714285714285714,0.8609988689422607,0.9418601989746094,0.9931515455245972,-0.08086133003234863,-0.13215267658233643,True,True,True,-0.09391572155220944,-0.15348763087771106
sample_29,0,-0.19079325,0.11468924,-0.006535095,-0.0026632221,20,0.10204081632653061,0.7585791349411011,0.9735219478607178,0.9469717144966125,-0.2149428129196167,-0.18839257955551147,True,True,True,-0.28334922886628783,-0.24834927679646632
sample_30,0,-0.07425625,0.06981928,-0.0020868885,-0.001527678,17,0.08673469387755102,0.8624705076217651,0.9100387692451477,0.9869764447212219,-0.04756826162338257,-0.12450593709945679,True,True,True,-0.0551534936012485,-0.1443596459231724
sample_31,0,-0.042065732,0.054173723,-0.001143222,-0.00032764568,19,0.09693877551020408,0.9292834997177124,0.8788458108901978,0.9663218259811401,0.05043768882751465,-0.037038326263427734,True,True,True,0.05427588980417285,-0.039856864212782034
sample_32,0,-0.031833403,0.050446056,-0.00086070027,-0.00059545215,18,0.09183673469387756,0.9352915287017822,0.9880707263946533,0.9209216237068176,-0.052779197692871094,0.0143699049949646,True,True,True,-0.05643074493161559,0.015364091894332174
sample_33,0,-0.063582785,0.057889648,-0.0011591861,-0.00021776457,21,0.10714285714285714,0.9522311687469482,0.7852957248687744,0.8574761152267456,0.16693544387817383,0.09475505352020264,True,True,True,0.17530978753598883,0.09950845617130122
sample_34,0,-0.035738967,0.023899842,-0.00010836372,0.00010897378,25,0.12755102040816327,0.9630082845687866,0.9577763080596924,0.9188856482505798,0.005231976509094238,0.04412263631820679,False,False,False,0.005432950674393211,0.045817504402845204
sample_35,0,-0.11017783,0.07279208,-0.0009662862,-0.00020774562,22,0.11224489795918367,0.9604357481002808,0.7074039578437805,0.6790079474449158,0.25303179025650024,0.281427800655365,False,False,False,0.2634551980775301,0.29302095555275043
sample_36,0,-0.1797246,0.072032735,-0.0021048288,-0.00020160817,22,0.11224489795918367,0.9643716216087341,0.9841578006744385,0.9769628047943115,-0.019786179065704346,-0.012591183185577393,False,False,False,-0.02051717265663383,-0.013056360124505924
sample_37,0,-0.09145466,0.057817977,-0.001593916,2.5803498e-05,23,0.11734693877551021,0.9761723279953003,0.9738064408302307,0.7828058004379272,0.00236588716506958,0.19336652755737305,False,False,False,0.00242363678750067,0.19808646691970558
