,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.019245507,0.014294129,-0.0005473786,2.6691518e-05,84,0.42857142857142855,0.9500957131385803,0.6979187726974487,0.9829825758934021,0.2521769404411316,-0.03288686275482178,True,True,True,0.26542266947830045,-0.03461426285798316
sample_1,0,-0.017484572,0.014094639,-0.00081604486,-3.105699e-05,76,0.3877551020408163,0.946395754814148,0.992562472820282,0.9394739270210266,-0.04616671800613403,0.006921827793121338,True,True,True,-0.048781619920939094,0.0073138829690552005
sample_2,0,-0.017620936,0.009803942,-0.0007856662,-0.00011411304,76,0.3877551020408163,0.9427314400672913,0.8321260809898376,0.9449647665023804,0.11060535907745361,-0.0022333264350891113,True,True,True,0.1173243559900354,-0.0023689953895350076
sample_3,0,-0.020159025,0.012693832,-0.00074061623,-8.7083536e-05,78,0.3979591836734694,0.9480113387107849,0.9227386713027954,0.8747609853744507,0.025272667407989502,0.07325035333633423,True,True,True,0.026658613010217987,0.07726738103781386
sample_4,0,-0.026793176,0.013946635,-0.00081021735,-0.00020246083,73,0.37244897959183676,0.9471681714057922,0.687799334526062,0.9702169299125671,0.2593688368797302,-0.023048758506774902,True,True,True,0.27383609870966585,-0.024334388762837975
sample_5,0,-0.028138148,0.05650883,-0.0008965147,-0.00024251617,75,0.3826530612244898,0.966270387172699,0.908035397529602,0.9878132343292236,0.058234989643096924,-0.021542847156524658,True,True,True,0.060267799175231,-0.02229484359916989
sample_6,0,-0.01570288,0.041004784,-0.0005026803,-0.00025143859,67,0.34183673469387754,0.9871774911880493,0.8660749793052673,0.9918535351753235,0.12110251188278198,-0.00467604398727417,True,True,True,0.1226755198166415,-0.004736781408626568
sample_7,0,-0.01721502,0.055358887,-0.00044097294,-0.00013545546,72,0.3673469387755102,0.9858697652816772,0.9699221253395081,0.8906962871551514,0.01594763994216919,0.09517347812652588,True,True,True,0.016176213637723962,0.09653757674507184
sample_8,0,-0.029402155,0.095051564,-0.0005331163,-0.0005766337,62,0.3163265306122449,0.9499373435974121,0.8628032207489014,0.9628096222877502,0.08713412284851074,-0.012872278690338135,True,True,True,0.091726179032539,-0.013550660764204536
sample_9,0,-0.06285682,0.11155178,-0.001019863,-0.00084425294,64,0.32653061224489793,0.908511757850647,0.6453962922096252,0.9386150240898132,0.26311546564102173,-0.03010326623916626,True,True,True,0.28961151395937806,-0.03313470186713316
sample_10,0,-0.19294304,0.11298103,-0.0028526743,-0.0014192639,65,0.33163265306122447,0.7029452919960022,0.9338117837905884,0.8959898352622986,-0.23086649179458618,-0.1930445432662964,True,True,True,-0.32842739601974485,-0.27462242860770775
sample_11,0,-0.08964005,0.049553018,-0.0018063663,-0.00075598795,62,0.3163265306122449,0.8905636072158813,0.807030439376831,0.894547164440155,0.08353316783905029,-0.003983557224273682,True,True,True,0.09379809276082515,-0.004473074345275854
sample_12,0,-0.03595632,0.065362506,-0.0013643717,-0.00083296146,59,0.3010204081632653,0.9049097299575806,0.9192902445793152,0.7154022455215454,-0.01438051462173462,0.18950748443603516,False,False,False,-0.015891656532866248,0.20942142421755006
sample_13,0,-0.028160753,0.021822331,-0.00061531435,-0.0003685769,59,0.3010204081632653,0.9480711221694946,0.8803625106811523,0.8829090595245361,0.06770861148834229,0.0651620626449585,False,False,False,0.07141722799593662,0.06873119655395318
