,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.058538694,0.026832275,-0.002266928,-0.00010651487,50,0.25510204081632654,0.9500957131385803,0.6484935879707336,0.9818124175071716,0.3016021251678467,-0.03171670436859131,True,True,True,0.3174439385391219,-0.03338264127496924
sample_1,0,-0.030669639,0.0077575706,-0.0017220938,-0.00013121263,51,0.2602040816326531,0.946395754814148,0.17077310383319855,0.9668184518814087,0.7756226509809494,-0.020422697067260742,True,False,True,0.819554237258033,-0.021579447037218934
sample_2,0,-0.025162198,0.0064410674,-0.0013075296,-0.000112187285,49,0.25,0.9427314400672913,0.9225744605064392,0.9878138303756714,0.02015697956085205,-0.04508239030838013,True,True,True,0.021381465287095194,-0.04782103194220635
sample_3,0,-0.026940571,0.01098785,-0.0012350334,-7.834498e-05,51,0.2602040816326531,0.9480113387107849,0.8062400817871094,0.9961122870445251,0.14177125692367554,-0.048100948333740234,True,True,True,0.14954595070188975,-0.05073879010682873
sample_4,0,-0.028170204,0.01356503,-0.001464557,0.00015983975,54,0.2755102040816326,0.9471681714057922,0.7343974709510803,0.928962230682373,0.21277070045471191,0.01820594072341919,True,True,True,0.2246387778623478,0.01922144480044957
sample_5,0,-0.03147028,0.07248621,-0.0017577751,-0.00044009142,42,0.21428571428571427,0.966270387172699,0.905245840549469,0.9361754655838013,0.06102454662322998,0.030094921588897705,True,True,True,0.0631547312567318,0.03114544540369829
sample_6,0,-0.019787591,0.06364672,-0.0013883496,-0.00054820545,47,0.23979591836734693,0.9871774911880493,0.8304744362831116,0.89972984790802,0.15670305490493774,0.0874476432800293,True,True,True,0.15873848046955427,0.08858350606716905
sample_7,0,-0.018635591,0.0886915,-0.0010496667,-0.00047149975,49,0.25,0.9858697652816772,0.9012088775634766,0.9887740612030029,0.08466088771820068,-0.0029042959213256836,True,True,True,0.08587431190164539,-0.002945922497679888
sample_8,0,-0.023386393,0.12598468,-0.0007421545,-0.0006051673,45,0.22959183673469388,0.9499373435974121,0.6832001805305481,0.9275480508804321,0.266737163066864,0.02238929271697998,True,True,True,0.2807944806725153,0.023569231031798102
sample_9,0,-0.028829824,0.1345958,-0.0009554702,-0.00081052806,44,0.22448979591836735,0.908511757850647,0.6803814768791199,0.7131326198577881,0.2281302809715271,0.1953791379928589,True,True,True,0.2511032785213883,0.21505405549740597
sample_10,0,-0.07609948,0.17254835,-0.0026412623,-0.0011581774,35,0.17857142857142858,0.7029452919960022,0.5344241261482239,0.8027101755142212,0.16852116584777832,-0.099764883518219,True,True,True,0.23973581979511535,-0.1419241079699647
sample_11,0,-0.03739837,0.09405354,-0.0014107443,-0.0008011224,39,0.1989795918367347,0.8905636072158813,0.8167198300361633,0.7834280729293823,0.07384377717971802,0.10713553428649902,True,True,True,0.08291802694539882,0.12030082233141189
sample_12,0,-0.031500705,0.041621484,-0.0013703047,-0.0005476405,46,0.23469387755102042,0.9049097299575806,0.8554346561431885,0.870631992816925,0.04947507381439209,0.03427773714065552,False,False,False,0.05467404336199516,0.03787973098958982
sample_13,0,-0.017195998,0.018890841,-0.00086943776,-0.00020270667,50,0.25510204081632654,0.9480711221694946,0.8801109790802002,0.8042351007461548,0.06796014308929443,0.14383602142333984,False,False,False,0.07168253678456059,0.15171437886874595
sample_14,0,-0.012472365,0.011557087,-0.0005655077,-0.00023193813,45,0.22959183673469388,0.9666828513145447,0.8941872715950012,0.9694799184799194,0.07249557971954346,-0.002797067165374756,False,False,False,0.07499417168822253,-0.0028934693126821905
sample_15,0,-0.009401714,0.01012843,-0.0005340882,1.4941159e-05,52,0.2653061224489796,0.9751161336898804,0.922467052936554,0.9053184986114502,0.052649080753326416,0.06979763507843018,False,False,False,0.053992626041474756,0.07157879217351577
sample_16,0,-0.008463898,0.010233854,-0.00053507235,7.13078e-05,56,0.2857142857142857,0.981903612613678,0.8435413837432861,0.8820191621780396,0.13836222887039185,0.09988445043563843,False,False,False,0.14091223119354113,0.1017253110717876
sample_17,0,-0.010684406,0.012246854,-0.000701206,3.1184598e-05,52,0.2653061224489796,0.9878765344619751,0.7145504951477051,0.9263157248497009,0.27332603931427,0.06156080961227417,False,False,False,0.27668036417438635,0.06231629911707731
sample_18,0,-0.010418826,0.013225152,-0.00061937835,-0.00019948158,46,0.23469387755102042,0.9874753355979919,0.9601225256919861,0.9654725790023804,0.02735280990600586,0.022002756595611572,False,False,False,0.027699739851670967,0.022281829026430538
sample_19,0,-0.013810512,0.011414074,-0.0005732117,-0.00015280893,49,0.25,0.984174907207489,0.932075023651123,0.8133261799812317,0.05209988355636597,0.17084872722625732,True,True,True,0.05293762640646353,0.17359589842726816
sample_20,0,-0.014276834,0.012876733,-0.0004071515,-8.890172e-06,52,0.2653061224489796,0.9848029017448425,0.7474536895751953,0.7518006563186646,0.23734921216964722,0.23300224542617798,True,True,True,0.24101189359730704,0.23659784614094048
sample_21,0,-0.019853842,0.01903783,-0.00019238087,-9.302844e-05,51,0.2602040816326531,0.9853261709213257,0.7902525067329407,0.7329772710800171,0.195073664188385,0.2523488998413086,True,True,True,0.19797877083279142,0.2561069697411474
sample_22,0,-0.019427218,0.02777546,4.0509054e-05,-0.00015304136,49,0.25,0.9843107461929321,0.7917633056640625,0.9912294149398804,0.19254744052886963,-0.006918668746948242,True,True,True,0.19561651772430097,-0.007028947691273232
sample_23,0,-0.035700765,0.03861138,-7.929271e-05,-0.00014409478,50,0.25510204081632654,0.9813584685325623,0.926673412322998,0.9668707251548767,0.05468505620956421,0.014487743377685547,True,True,True,0.055723833811038966,0.014762947324792797
sample_24,0,-0.044203743,0.048201554,-0.00016631403,-0.00021557731,47,0.23979591836734693,0.9847415089607239,0.9551734328269958,0.9786120653152466,0.029568076133728027,0.006129443645477295,True,True,True,0.030026231112095167,0.006224418885262778
sample_25,0,-0.030250859,0.04166954,-0.00017894954,-0.00020648455,48,0.24489795918367346,0.9918248057365417,0.9044851660728455,0.9849327206611633,0.08733963966369629,0.006892085075378418,True,True,True,0.08805954353887807,0.006948893630725708
sample_26,0,-0.013067663,0.028542833,-0.00025179944,-0.0003941338,46,0.23469387755102042,0.9949054718017578,0.9288041591644287,0.9357315897941589,0.0661013126373291,0.05917388200759888,True,True,True,0.066439792031318,0.059476888694195165
sample_27,0,-0.034848172,0.03695587,-0.0010216134,-0.0011807741,44,0.22448979591836735,0.9915816187858582,0.8743512630462646,0.9888558983802795,0.1172303557395935,0.0027257204055786133,True,True,True,0.11822562411265367,0.0027488613684833337
sample_28,0,-0.050522253,0.06170506,-0.0028562294,-0.0020684232,44,0.22448979591836735,0.8609988689422607,0.8214142918586731,0.9884649515151978,0.039584577083587646,-0.127466082572937,True,True,True,0.0459751789595466,-0.14804442511002297
sample_29,0,-0.042311095,0.040366635,-0.0037596636,-0.0045053717,40,0.20408163265306123,0.7585791349411011,0.9883331656455994,0.9035103917121887,-0.2297540307044983,-0.14493125677108765,True,True,True,-0.3028741763670276,-0.19105621298474107
sample_30,0,-0.026597328,0.034879487,-0.0020633356,-0.0026022834,37,0.18877551020408162,0.8624705076217651,0.9737262725830078,0.9864674210548401,-0.11125576496124268,-0.12399691343307495,True,True,True,-0.12899660217718853,-0.14376945337527247
