,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.058538694,0.026832275,-0.002266928,-0.00010651487,92,0.46938775510204084,0.9500957131385803,0.9328849911689758,0.8606839776039124,0.017210721969604492,0.08941173553466797,True,True,True,0.018114724371032023,0.09410813489443293
sample_1,0,-0.030669639,0.0077575706,-0.0017220938,-0.00013121263,94,0.47959183673469385,0.946395754814148,0.6140958666801453,0.9648407101631165,0.3322998881340027,-0.018444955348968506,True,True,True,0.3511214906064951,-0.019489685213762084
sample_2,0,-0.025162198,0.0064410674,-0.0013075296,-0.000112187285,90,0.45918367346938777,0.9427314400672913,0.7861804366111755,0.9771167635917664,0.15655100345611572,-0.0343853235244751,True,True,True,0.1660610825124717,-0.036474145300617856
sample_3,0,-0.026940571,0.01098785,-0.0012350334,-7.834498e-05,95,0.4846938775510204,0.9480113387107849,0.4288909435272217,0.9544574022293091,0.5191203951835632,-0.00644606351852417,True,False,True,0.5475888040427058,-0.006799563734427766
sample_4,0,-0.028170204,0.01356503,-0.001464557,0.00015983975,99,0.5051020408163265,0.9471681714057922,0.331152081489563,0.963634192943573,0.6160160899162292,-0.01646602153778076,True,False,True,0.6503766791507941,-0.01738447514905595
sample_5,0,-0.03147028,0.07248621,-0.0017577751,-0.00044009142,78,0.3979591836734694,0.966270387172699,0.45966246724128723,0.8849351406097412,0.5066079199314117,0.08133524656295776,True,False,True,0.5242920891053521,0.08417441706036773
sample_6,0,-0.019787591,0.06364672,-0.0013883496,-0.00054820545,87,0.44387755102040816,0.9871774911880493,0.3616394102573395,0.9089669585227966,0.6255380809307098,0.07821053266525269,True,False,True,0.6336632333238136,0.0792264140576461
sample_7,0,-0.018635591,0.0886915,-0.0010496667,-0.00047149975,90,0.45918367346938777,0.9858697652816772,0.7765933275222778,0.9498469233512878,0.20927643775939941,0.036022841930389404,True,True,True,0.2122759467114869,0.03653914867761175
sample_8,0,-0.023386393,0.12598468,-0.0007421545,-0.0006051673,83,0.42346938775510207,0.9499373435974121,0.8063010573387146,0.9888928532600403,0.1436362862586975,-0.038955509662628174,True,True,True,0.1512060634596667,-0.04100850432419435
sample_9,0,-0.028829824,0.1345958,-0.0009554702,-0.00081052806,82,0.41836734693877553,0.908511757850647,0.8732524514198303,0.47328126430511475,0.03525930643081665,0.4352304935455322,True,True,False,0.03880996159502983,0.47905873510674046
