,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.026691467,0.03871284,-0.0016129927,-0.0017721064,40,0.20408163265306123,0.9500957131385803,0.9580182433128357,0.8498499393463135,-0.007922530174255371,0.10024577379226685,True,True,True,-0.0083386653204484,0.10551123682172121
sample_1,0,-0.043124188,0.16441028,0.0049873753,0.002027182,63,0.32142857142857145,0.946395754814148,0.7222672700881958,0.9763150215148926,0.22412848472595215,-0.02991926670074463,True,True,True,0.2368232143750119,-0.0316139062845016
sample_2,0,-0.09451653,0.17808184,0.0013599511,0.000113335,56,0.2857142857142857,0.9427314400672913,0.7227148413658142,0.9933404326438904,0.22001659870147705,-0.05060899257659912,True,True,True,0.23338205277822546,-0.053683361374886045
sample_3,0,-0.081370756,0.0612202,-0.0011310513,0.0003094297,58,0.29591836734693877,0.9480113387107849,0.8537441492080688,0.9753546714782715,0.09426718950271606,-0.027343332767486572,True,True,True,0.09943677428047586,-0.028842833045300057
sample_4,0,-0.011091115,0.010378276,-0.000119359305,0.00024257819,64,0.32653061224489793,0.9471681714057922,0.7000566124916077,0.7708845734596252,0.24711155891418457,0.176283597946167,True,True,True,0.2608951254637497,0.18611647146517382
sample_5,0,-0.0182799,0.042939212,0.0012725716,0.00088529615,63,0.32142857142857145,0.966270387172699,0.9883439540863037,0.8947710394859314,-0.022073566913604736,0.07149934768676758,True,True,True,-0.022844089197633234,0.07399517633565716
sample_6,0,-0.0785138,0.23246852,0.0021426547,0.0009182556,58,0.29591836734693877,0.9871774911880493,0.9899840354919434,0.9974237680435181,-0.002806544303894043,-0.01024627685546875,True,True,True,-0.0028429986795144814,-0.010379366372239253
sample_7,0,-0.17026928,0.23331003,0.007816196,0.0038609062,58,0.29591836734693877,0.9858697652816772,0.9956443309783936,0.993121325969696,-0.009774565696716309,-0.007251560688018799,True,True,True,-0.009914662200766014,-0.007355495566847943
sample_8,0,-0.012923061,0.06894708,-0.0006695798,-0.00104769,33,0.1683673469387755,0.9499373435974121,0.982275128364563,0.9906582832336426,-0.03233778476715088,-0.04072093963623047,True,True,True,-0.03404201865008034,-0.042866974238553776
sample_9,0,-0.140699,0.17859705,0.004230556,0.0016546063,57,0.29081632653061223,0.908511757850647,0.844081461429596,0.9436231851577759,0.06443029642105103,-0.035111427307128906,True,True,True,0.07091850585784375,-0.038647190863214984
sample_10,0,-0.034227528,0.038112707,-0.0005111673,-0.0005233959,47,0.23979591836734693,0.7029452919960022,0.546171247959137,0.9615746736526489,0.15677404403686523,-0.25862938165664673,True,True,True,0.22302453095845878,-0.3679224892769004
sample_11,0,-0.02001675,0.045858413,0.0018730556,0.0002631232,55,0.28061224489795916,0.8905636072158813,0.7996483445167542,0.9920876622200012,0.0909152626991272,-0.10152405500411987,True,True,True,0.10208733206980065,-0.11399977966931389
sample_12,0,-0.03556792,0.05152623,-0.00014475161,-0.00014433463,51,0.2602040816326531,0.9049097299575806,0.7893160581588745,0.8781633377075195,0.11559367179870605,0.026746392250061035,False,False,False,0.12774055573932744,0.029556972772648633
sample_13,0,-0.07225289,0.06624519,-0.0008313484,0.00046889106,60,0.30612244897959184,0.9480711221694946,0.8924217224121094,0.7947281002998352,0.055649399757385254,0.15334302186965942,False,False,False,0.058697494793472194,0.16174210803801384
sample_14,0,-0.08398607,0.07989281,0.00188792,0.00036148253,58,0.29591836734693877,0.9666828513145447,0.8312221765518188,0.9261625409126282,0.13546067476272583,0.040520310401916504,False,False,False,0.14012938636339672,0.0419168606816754
sample_15,0,-0.13487041,0.16229723,0.0034128078,-0.0009866467,49,0.25,0.9751161336898804,0.9348536133766174,0.7089503407478333,0.04026252031326294,0.2661657929420471,False,False,False,0.0412899745191456,0.2729580444278617
sample_16,0,-0.02600382,0.009124684,-0.0018074859,-0.00061990623,42,0.21428571428571427,0.981903612613678,0.8873014450073242,0.7630226612091064,0.09460216760635376,0.21888095140457153,False,False,False,0.09634567628744861,0.22291490589584834
sample_17,0,-0.014635505,0.026248386,0.0040072724,0.0040170215,77,0.39285714285714285,0.9878765344619751,0.5853614807128906,0.8760148882865906,0.4025150537490845,0.11186164617538452,False,False,False,0.4074548181957833,0.11323444000652112
sample_18,0,-0.051473524,0.10860502,0.00010394852,-0.00036116643,49,0.25,0.9874753355979919,0.8850110173225403,0.7004982829093933,0.10246431827545166,0.28697705268859863,False,False,False,0.10376392663357173,0.2906169322343753
sample_19,0,-0.14160159,0.08600038,0.0027157546,0.0029721688,57,0.29081632653061223,0.984174907207489,0.816306471824646,0.9110502600669861,0.16786843538284302,0.07312464714050293,True,True,True,0.17056768482256385,0.07430045879546734
sample_20,0,-0.056810673,0.029859532,-9.576049e-06,0.0005325259,61,0.3112244897959184,0.9848029017448425,0.8963344097137451,0.8868995308876038,0.08846849203109741,0.09790337085723877,True,True,True,0.08983370365212343,0.09941417788653616
sample_21,0,-0.10312935,0.07553096,0.0029954396,0.0056023337,69,0.3520408163265306,0.9853261709213257,0.92828369140625,0.8127136826515198,0.057042479515075684,0.1726124882698059,True,True,True,0.057891976483014064,0.1751830950642519
sample_22,0,-0.05440706,0.05076569,0.005855248,0.004111721,65,0.33163265306122447,0.9843107461929321,0.9369869232177734,0.8585308790206909,0.04732382297515869,0.1257798671722412,True,True,True,0.04807813300646712,0.12778471398257743
sample_23,0,-0.0841391,0.03868852,0.00073796563,0.00095886097,64,0.32653061224489793,0.9813584685325623,0.8372511863708496,0.8468597531318665,0.14410728216171265,0.1344987154006958,True,True,True,0.14684469211051707,0.13705360448136086
sample_24,0,-0.091765724,0.119994916,0.006052482,0.002736886,61,0.3112244897959184,0.9847415089607239,0.9735957384109497,0.9225848913192749,0.01114577054977417,0.062156617641448975,True,True,True,0.011318473374334743,0.06311972946793702
sample_25,0,-0.03709307,0.069010265,0.0021605177,0.0007614838,58,0.29591836734693877,0.9918248057365417,0.982829749584198,0.9916308522224426,0.00899505615234375,0.0001939535140991211,True,True,True,0.009069198612817419,0.00019555219125124497
sample_26,0,-0.023107333,0.045828383,0.003699611,0.0032342556,70,0.35714285714285715,0.9949054718017578,0.8841906189918518,0.9951013922691345,0.110714852809906,-0.00019592046737670898,True,True,True,0.11128178098106466,-0.00019692370072294424
sample_27,0,-0.017462865,0.068249464,0.0017621994,0.00071419694,69,0.3520408163265306,0.9915816187858582,0.875049889087677,0.9852193593978882,0.11653172969818115,0.006362259387969971,True,True,True,0.11752106683952895,0.006416274028718118
sample_28,0,-0.05528387,0.04495292,-0.0022113365,-0.0008597103,49,0.25,0.8609988689422607,0.6453184485435486,0.9520185589790344,0.21568042039871216,-0.09101969003677368,True,True,True,0.25050023661898196,-0.10571406458244434
sample_29,0,-0.04055382,0.051763635,-0.0011058056,-0.00081790006,49,0.25,0.7585791349411011,0.8885811567306519,0.9839082360267639,-0.13000202178955078,-0.22532910108566284,True,True,True,-0.17137568883916723,-0.29704099507450626
sample_30,0,-0.028020104,0.03032966,-0.00072232017,-0.00018462501,49,0.25,0.8624705076217651,0.9678688049316406,0.932806134223938,-0.10539829730987549,-0.07033562660217285,True,True,True,-0.12220510310608525,-0.08155134115382229
sample_31,0,-0.07153523,0.095089726,0.0021786452,0.0017492916,57,0.29081632653061223,0.9292834997177124,0.9019624590873718,0.9913526177406311,0.027321040630340576,-0.0620691180229187,True,True,True,0.029400113785125706,-0.06679244605308647
sample_32,0,-0.16270737,0.04701865,-0.010582423,0.000115160685,53,0.27040816326530615,0.9352915287017822,0.8478354215621948,0.9878870248794556,0.0874561071395874,-0.05259549617767334,True,True,True,0.0935067884780049,-0.05623433396288508
sample_33,0,-0.019088043,0.052607246,0.002782172,0.0013926381,65,0.33163265306122447,0.9522311687469482,0.6227462291717529,0.9372848868370056,0.3294849395751953,0.014946281909942627,True,True,True,0.34601360508789925,0.015696064569710115
sample_34,0,-0.016902892,0.04202607,4.658673e-05,0.00014354478,55,0.28061224489795916,0.9630082845687866,0.893081784248352,0.8529030084609985,0.06992650032043457,0.11010527610778809,False,False,False,0.07261256361023527,0.11433471328555678
sample_35,0,-0.041745525,0.13732387,0.0011492729,0.001020892,59,0.3010204081632653,0.9604357481002808,0.6388631463050842,0.6288914084434509,0.32157260179519653,0.33154433965682983,False,False,False,0.33481948420939095,0.3452019984810194
sample_36,0,-0.04729962,0.05940469,-0.00034483438,-0.0013147433,46,0.23469387755102042,0.9643716216087341,0.744457483291626,0.974044680595398,0.21991413831710815,-0.009673058986663818,False,False,False,0.22803879063783977,-0.010030426829159
sample_37,0,-0.078297175,0.04262033,0.00040942902,-0.00044179804,50,0.25510204081632654,0.9761723279953003,0.983889102935791,0.9881545305252075,-0.007716774940490723,-0.011982202529907227,False,False,False,-0.007905135926499931,-0.012274679568631364
sample_38,0,-0.061611783,0.06667202,0.0031724079,0.0014809876,63,0.32142857142857145,0.9840695261955261,0.9881220459938049,0.8345481157302856,-0.004052519798278809,0.14952141046524048,True,True,True,-0.0041181234561201195,0.151941917196948
sample_39,0,-0.07473437,0.11717009,0.0013258434,-0.00063949556,46,0.23469387755102042,0.9663159251213074,0.9578270316123962,0.926338791847229,0.008488893508911133,0.03997713327407837,True,True,True,0.008784801417657969,0.04137066588140913
sample_40,0,-1.7856861,0.36853698,0.0040245745,0.009048036,71,0.3622448979591837,0.8785355687141418,0.9783581495285034,0.6344399452209473,-0.09982258081436157,0.24409562349319458,True,True,True,-0.11362383535645086,0.2778437574820815
sample_41,0,-0.37951508,0.13628583,-0.00034944742,0.0021010642,57,0.29081632653061223,0.7037225365638733,0.6817031502723694,0.8792708516120911,0.022019386291503906,-0.17554831504821777,True,True,True,0.03128986944061769,-0.2494567189866942
sample_42,0,-0.6276574,0.04264163,-0.008504765,-0.0023231704,41,0.20918367346938777,0.5484141707420349,0.4890230596065521,0.23606549203395844,0.05939111113548279,0.3123486787080765,True,False,False,0.10829609135577825,0.5695488836210255
sample_43,1,-0.082389615,0.17123513,0.003352172,0.00020526117,54,0.2755102040816326,0.6718763709068298,0.87287837266922,0.08597420901060104,-0.20100200176239014,0.5859021618962288,False,False,True,-0.299165159642537,0.8720386476837072
sample_44,1,-0.08509244,0.16217642,0.0014959077,0.0008977503,56,0.2857142857142857,0.6508020758628845,0.3388732075691223,0.18077318370342255,0.3119288682937622,0.470028892159462,False,True,True,0.47929912927856355,0.7222301673458259
sample_45,0,-0.20384121,0.09034351,-0.00024224514,0.00069562485,56,0.2857142857142857,0.7189673185348511,0.935592532157898,0.9850334525108337,-0.21662521362304688,-0.26606613397598267,True,True,True,-0.3013005014810645,-0.37006707692664814
sample_46,0,-0.05397917,0.043575343,0.00025248164,-0.00021057815,50,0.25510204081632654,0.9445400238037109,0.957811176776886,0.9804748892784119,-0.013271152973175049,-0.03593486547470093,True,True,True,-0.014050387107717721,-0.03804483089026698
sample_47,0,-0.041663688,0.19005468,0.0059032296,0.0033532227,72,0.3673469387755102,0.9849464893341064,0.9911391139030457,0.9755709767341614,-0.006192624568939209,0.009375512599945068,True,True,True,-0.006287270055783296,0.009518804017752862
sample_48,0,-0.008735474,0.045741584,0.0005043908,0.0001446699,56,0.2857142857142857,0.9917295575141907,0.9901056885719299,0.9794809818267822,0.0016238689422607422,0.012248575687408447,True,True,True,0.001637411056226895,0.012350721620226775
sample_49,0,-0.0817197,0.11451888,0.0013965104,0.00033115633,54,0.2755102040816326,0.9933817386627197,0.9917771816253662,0.9939622282981873,0.0016045570373535156,-0.0005804896354675293,True,True,True,0.0016152471652172244,-0.0005843570632262462
sample_50,0,-0.08312864,0.21542692,0.0010194797,0.0013055962,60,0.30612244897959184,0.993155300617218,0.9802056550979614,0.9732720851898193,0.012949645519256592,0.01988321542739868,False,False,False,0.013038892820899966,0.02002024800657241
sample_51,0,-0.025588376,0.034970805,-0.00096854725,-0.00018497574,49,0.25,0.9924168586730957,0.9892811179161072,0.9420751333236694,0.0031357407569885254,0.05034172534942627,False,False,False,0.003159701217874459,0.05072639073940696
sample_52,0,-0.09431298,0.12438402,-0.00028121434,0.0013418655,61,0.3112244897959184,0.9673242568969727,0.9937402009963989,0.8305277824401855,-0.02641594409942627,0.1367964744567871,False,False,False,-0.027308261848167183,0.14141739285605134
sample_53,1,-0.053070962,0.1335344,0.0015251074,-0.0014989341,46,0.23469387755102042,0.7856607437133789,0.6914758682250977,0.9860997796058655,0.09418487548828125,-0.20043903589248657,True,True,True,0.11987982884714593,-0.2551216125997633
sample_54,1,-0.040595494,0.09853872,0.0033822898,0.001411176,68,0.3469387755102041,0.941691517829895,0.9749427437782288,0.9877661466598511,-0.03325122594833374,-0.046074628829956055,True,True,True,-0.035310104549906504,-0.048927518149610084
