,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.026691467,0.03871284,-0.0016129927,-0.0017721064,71,0.3622448979591837,0.9500957131385803,0.4915018081665039,0.8923280239105225,0.4585939049720764,0.05776768922805786,True,False,True,0.4826817957710185,0.06080196808511639
sample_1,0,-0.043124188,0.16441028,0.0049873753,0.002027182,110,0.5612244897959183,0.946395754814148,0.7872288227081299,0.9632428288459778,0.15916693210601807,-0.016847074031829834,True,True,True,0.16818221266987304,-0.017801299240969484
sample_2,0,-0.09451653,0.17808184,0.0013599511,0.000113335,98,0.5,0.9427314400672913,0.9441364407539368,0.8576009273529053,-0.0014050006866455078,0.08513051271438599,True,True,True,-0.00149035093869917,0.09030197688995018
sample_3,0,-0.081370756,0.0612202,-0.0011310513,0.0003094297,101,0.5153061224489796,0.9480113387107849,0.982384979724884,0.8806518912315369,-0.03437364101409912,0.06735944747924805,True,True,True,-0.036258681315820926,0.07105341964670084
sample_4,0,-0.011091115,0.010378276,-0.000119359305,0.00024257819,112,0.5714285714285714,0.9471681714057922,0.9289021492004395,0.9113622903823853,0.018266022205352783,0.03580588102340698,True,True,True,0.019284877550564492,0.037803087249293536
sample_5,0,-0.0182799,0.042939212,0.0012725716,0.00088529615,110,0.5612244897959183,0.966270387172699,0.6055213212966919,0.5800577998161316,0.3607490658760071,0.3862125873565674,True,True,True,0.37334173815629035,0.39969411510852876
sample_6,0,-0.0785138,0.23246852,0.0021426547,0.0009182556,102,0.5204081632653061,0.9871774911880493,0.9689046740531921,0.9365073442459106,0.018272817134857178,0.05067014694213867,True,True,True,0.01851016387424534,0.05132830457991715
sample_7,0,-0.17026928,0.23331003,0.007816196,0.0038609062,101,0.5153061224489796,0.9858697652816772,0.9916200637817383,0.9889621138572693,-0.005750298500061035,-0.003092348575592041,True,True,True,-0.005832716148281606,-0.003136670465503638
sample_8,0,-0.012923061,0.06894708,-0.0006695798,-0.00104769,58,0.29591836734693877,0.9499373435974121,0.7839668989181519,0.9543244242668152,0.16597044467926025,-0.004387080669403076,True,True,True,0.1747172545620012,-0.004618284246821169
sample_9,0,-0.140699,0.17859705,0.004230556,0.0016546063,100,0.5102040816326531,0.908511757850647,0.5923061966896057,0.9575724005699158,0.31620556116104126,-0.0490606427192688,True,True,True,0.34804784685353873,-0.05400110928155322
sample_10,0,-0.034227528,0.038112707,-0.0005111673,-0.0005233959,83,0.42346938775510207,0.7029452919960022,0.9248695969581604,0.953495979309082,-0.2219243049621582,-0.25055068731307983,True,True,True,-0.3157063678910312,-0.35642985331283045
sample_11,0,-0.02001675,0.045858413,0.0018730556,0.0002631232,96,0.4897959183673469,0.8905636072158813,0.5373717546463013,0.31557798385620117,0.3531918525695801,0.5749856233596802,True,True,False,0.39659362869514037,0.6456423984775498
sample_12,0,-0.03556792,0.05152623,-0.00014475161,-0.00014433463,90,0.45918367346938777,0.9049097299575806,0.5521500706672668,0.9381792545318604,0.3527596592903137,-0.033269524574279785,False,False,False,0.3898285625759047,-0.03676557282220776
sample_13,0,-0.07225289,0.06624519,-0.0008313484,0.00046889106,104,0.5306122448979592,0.9480711221694946,0.43989723920822144,0.7064012885093689,0.5081738829612732,0.24166983366012573,False,True,False,0.5360081865993411,0.2549068608978477
sample_14,0,-0.08398607,0.07989281,0.00188792,0.00036148253,102,0.5204081632653061,0.9666828513145447,0.8491782546043396,0.9577724933624268,0.11750459671020508,0.00891035795211792,False,False,False,0.12155444420102864,0.009217457349120408
sample_15,0,-0.13487041,0.16229723,0.0034128078,-0.0009866467,86,0.4387755102040816,0.9751161336898804,0.9532178640365601,0.608900249004364,0.021898269653320312,0.36621588468551636,False,False,False,0.022457088849977633,0.37556130191358855
sample_16,0,-0.02600382,0.009124684,-0.0018074859,-0.00061990623,74,0.37755102040816324,0.981903612613678,0.3099329471588135,0.7172030806541443,0.6719706654548645,0.2647005319595337,False,True,False,0.6843550189882496,0.26957893683163175
sample_17,0,-0.014635505,0.026248386,0.0040072724,0.0040170215,134,0.6836734693877551,0.9878765344619751,0.5163606405258179,0.8205181956291199,0.4715158939361572,0.16735833883285522,False,False,False,0.4773024537858446,0.1694122018233819
sample_18,0,-0.051473524,0.10860502,0.00010394852,-0.00036116643,85,0.4336734693877551,0.9874753355979919,0.6000558733940125,0.8160689473152161,0.3874194622039795,0.17140638828277588,False,False,False,0.39233330518515414,0.17358042485079
sample_19,0,-0.14160159,0.08600038,0.0027157546,0.0029721688,100,0.5102040816326531,0.984174907207489,0.4196937084197998,0.7190114855766296,0.5644811987876892,0.2651634216308594,True,False,True,0.5735578042620043,0.26942713097942883
sample_20,0,-0.056810673,0.029859532,-9.576049e-06,0.0005325259,106,0.5408163265306123,0.9848029017448425,0.9825736880302429,0.7513527274131775,0.0022292137145996094,0.23345017433166504,True,True,True,0.002263614080187984,0.2370526873124007
sample_21,0,-0.10312935,0.07553096,0.0029954396,0.0056023337,120,0.6122448979591837,0.9853261709213257,0.7754450440406799,0.9860333800315857,0.20988112688064575,-0.0007072091102600098,True,True,True,0.213006751545427,-0.0007177411207892067
sample_22,0,-0.05440706,0.05076569,0.005855248,0.004111721,113,0.576530612244898,0.9843107461929321,0.8484426140785217,0.9930986762046814,0.1358681321144104,-0.008787930011749268,True,True,True,0.13803377910879705,-0.008928003728231947
sample_23,0,-0.0841391,0.03868852,0.00073796563,0.00095886097,112,0.5714285714285714,0.9813584685325623,0.5738086700439453,0.9681656360626221,0.40754979848861694,0.013192832469940186,True,True,True,0.4152914674471922,0.013443438756551003
sample_24,0,-0.091765724,0.119994916,0.006052482,0.002736886,107,0.5459183673469388,0.9847415089607239,0.4247742295265198,0.9884351491928101,0.5599672794342041,-0.0036936402320861816,True,False,True,0.5686439277097014,-0.0037508728925059473
sample_25,0,-0.03709307,0.069010265,0.0021605177,0.0007614838,101,0.5153061224489796,0.9918248057365417,0.9645429849624634,0.9661769270896912,0.02728182077407837,0.025647878646850586,True,True,True,0.02750669333564262,0.025859283311435374
sample_26,0,-0.023107333,0.045828383,0.003699611,0.0032342556,122,0.6224489795918368,0.9949054718017578,0.7496192455291748,0.8597936630249023,0.245286226272583,0.13511180877685547,True,True,True,0.24654224267997402,0.13580366437443564
sample_27,0,-0.017462865,0.068249464,0.0017621994,0.00071419694,121,0.6173469387755102,0.9915816187858582,0.949996829032898,0.7103745937347412,0.041584789752960205,0.28120702505111694,True,True,True,0.04193783846445105,0.28359443108217436
sample_28,0,-0.05528387,0.04495292,-0.0022113365,-0.0008597103,85,0.4336734693877551,0.8609988689422607,0.6398589611053467,0.791049063205719,0.22113990783691406,0.06994980573654175,True,True,True,0.2568411130534759,0.08124262209830224
sample_29,0,-0.04055382,0.051763635,-0.0011058056,-0.00081790006,86,0.4387755102040816,0.7585791349411011,0.9560526609420776,0.9979483485221863,-0.19747352600097656,-0.2393692135810852,True,True,True,-0.26032027102394417,-0.31554942992160034
sample_30,0,-0.028020104,0.03032966,-0.00072232017,-0.00018462501,86,0.4387755102040816,0.8624705076217651,0.5134460926055908,0.9446412324905396,0.3490244150161743,-0.08217072486877441,True,True,True,0.4046798260715001,-0.0952736634384839
sample_31,0,-0.07153523,0.095089726,0.0021786452,0.0017492916,99,0.5051020408163265,0.9292834997177124,0.9079557061195374,0.9989959597587585,0.02132779359817505,-0.06971246004104614,True,True,True,0.022950793385069005,-0.07501743016229453
sample_32,0,-0.16270737,0.04701865,-0.010582423,0.000115160685,93,0.4744897959183674,0.9352915287017822,0.9735105633735657,0.9334628582000732,-0.03821903467178345,0.0018286705017089844,True,True,True,-0.04086323194312774,0.0019551877094912255
sample_33,0,-0.019088043,0.052607246,0.002782172,0.0013926381,113,0.576530612244898,0.9522311687469482,0.7732207775115967,0.30854305624961853,0.17901039123535156,0.6436881124973297,True,True,False,0.18799047658869786,0.6759788312163382
sample_34,0,-0.016902892,0.04202607,4.658673e-05,0.00014354478,95,0.4846938775510204,0.9630082845687866,0.4841974973678589,0.2758420705795288,0.47881078720092773,0.6871662139892578,False,True,True,0.497203185967739,0.7135621001401409
sample_35,0,-0.041745525,0.13732387,0.0011492729,0.001020892,103,0.5255102040816326,0.9604357481002808,0.6684962511062622,0.5471102595329285,0.29193949699401855,0.4133254885673523,False,False,False,0.3039656713855851,0.4303520452928791
