,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.11041767246213616,0.07113063355793282,0.0011286676692009406,0.0007318798785567606,15,0.07653061224489796,0.9500957131385803,0.9381012916564941,0.9639568328857422,0.011994421482086182,-0.013861119747161865,True,True,True,0.012624434902946124,-0.014589182495490422
sample_1,0,-0.11765769953921323,0.05682400626039295,0.0009316908628212087,0.0005343500081839961,15,0.07653061224489796,0.946395754814148,0.9515326619148254,0.853846549987793,-0.00513690710067749,0.09254920482635498,True,True,True,-0.0054278636337356245,0.09779122989042748
sample_2,0,-0.08294696455671675,0.06527587964003849,0.0010607176966434984,0.0006630804147911963,16,0.08163265306122448,0.9427314400672913,0.8942916989326477,0.9773844480514526,0.048439741134643555,-0.03465300798416138,True,True,True,0.05138233337289141,-0.03675809091684465
sample_3,0,-0.12277200274962266,0.08082201438209563,0.0010231723947410887,0.0011297015367181347,15,0.07653061224489796,0.9480113387107849,0.9811989068984985,0.8803021907806396,-0.03318756818771362,0.06770914793014526,True,True,True,-0.03500756460660682,0.07142229756684552
sample_4,0,-0.1516264679909823,0.11125432834903613,0.0009764836358491459,0.0012646604010993223,15,0.07653061224489796,0.9471681714057922,0.8937885761260986,0.973785400390625,0.053379595279693604,-0.026617228984832764,True,True,True,0.05635704079927782,-0.02810190395790784
sample_5,0,-0.13999509502417187,0.08420513641246756,0.0010937303342863885,0.0004972927343871246,15,0.07653061224489796,0.966270387172699,0.9863783121109009,0.9841742515563965,-0.020107924938201904,-0.01790386438369751,True,True,True,-0.020809832532524945,-0.01852883480790931
sample_6,0,-0.11680918509659169,0.08395761170074052,0.0011644371918839646,0.00020583350809425733,14,0.07142857142857142,0.9871774911880493,0.9966339468955994,0.9859929084777832,-0.009456455707550049,0.0011845827102661133,True,True,True,-0.009579286189122266,0.001199969327542599
sample_7,0,-0.10758960663552913,0.07870847248532782,0.0013029771140264307,0.0003394999653835121,14,0.07142857142857142,0.9858697652816772,0.9969701766967773,0.9930911064147949,-0.011100411415100098,-0.007221341133117676,True,True,True,-0.011259510947603257,-0.0073248428823196885
sample_8,0,-0.09194750795138974,0.0790992857187315,0.0010290077225388237,0.00039716921672151764,14,0.07142857142857142,0.9499373435974121,0.9768245816230774,0.982262909412384,-0.026887238025665283,-0.032325565814971924,True,True,True,-0.028304222596243378,-0.03402915574679381
sample_9,0,-0.09002773978261686,0.09264975357724642,0.0008377620770312992,0.0005868210653139073,15,0.07653061224489796,0.908511757850647,0.8940444588661194,0.9824298620223999,0.014467298984527588,-0.07391810417175293,True,True,True,0.01592417363838445,-0.08136174742155021
