,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.11041767246213616,0.07113063355793282,0.0011286676692009406,0.0007318798785567606,103,0.5255102040816326,0.9500957131385803,0.5689610242843628,0.830682635307312,0.38113468885421753,0.11941307783126831,True,True,True,0.40115399278580416,0.12568531378464476
sample_1,0,-0.11765769953921323,0.05682400626039295,0.0009316908628212087,0.0005343500081839961,102,0.5204081632653061,0.946395754814148,0.5431979894638062,0.8017573356628418,0.4031977653503418,0.14463841915130615,True,True,True,0.426035052777177,0.15283079875998606
sample_2,0,-0.08294696455671675,0.06527587964003849,0.0010607176966434984,0.0006630804147911963,108,0.5510204081632653,0.9427314400672913,0.5133731365203857,0.68207848072052,0.4293583035469055,0.26065295934677124,True,True,True,0.4554407387922252,0.27648696995632827
sample_3,0,-0.12277200274962266,0.08082201438209563,0.0010231723947410887,0.0011297015367181347,105,0.5357142857142857,0.9480113387107849,0.7962281703948975,0.9109218120574951,0.15178316831588745,0.037089526653289795,True,True,True,0.16010691235222957,0.039123505319808106
sample_4,0,-0.1516264679909823,0.11125432834903613,0.0009764836358491459,0.0012646604010993223,105,0.5357142857142857,0.9471681714057922,0.4489647150039673,0.8826967477798462,0.49820345640182495,0.06447142362594604,True,False,True,0.5259926076932976,0.06806755713745871
sample_5,0,-0.13999509502417187,0.08420513641246756,0.0010937303342863885,0.0004972927343871246,100,0.5102040816326531,0.966270387172699,0.7336530089378357,0.6639192700386047,0.23261737823486328,0.30235111713409424,True,True,True,0.24073735604741056,0.31290529146688606
sample_6,0,-0.11680918509659169,0.08395761170074052,0.0011644371918839646,0.00020583350809425733,94,0.47959183673469385,0.9871774911880493,0.9794195294380188,0.9851586222648621,0.007757961750030518,0.002018868923187256,True,True,True,0.007858730389703233,0.002045092135110967
sample_7,0,-0.10758960663552913,0.07870847248532782,0.0013029771140264307,0.0003394999653835121,96,0.4897959183673469,0.9858697652816772,0.9961684346199036,0.9167994856834412,-0.010298669338226318,0.06907027959823608,True,True,True,-0.010446277693974965,0.07006024733753927
sample_8,0,-0.09194750795138974,0.0790992857187315,0.0010290077225388237,0.00039716921672151764,99,0.5051020408163265,0.9499373435974121,0.1485326737165451,0.8497161865234375,0.801404669880867,0.10022115707397461,True,False,True,0.8436395045234752,0.10550291316523798
sample_9,0,-0.09002773978261686,0.09264975357724642,0.0008377620770312992,0.0005868210653139073,103,0.5255102040816326,0.908511757850647,0.9548165798187256,0.7278146743774414,-0.04630482196807861,0.18069708347320557,True,True,True,-0.05096777401937687,0.1988935001795661
sample_10,0,-0.11181390042045562,0.10874328651595724,-0.00020837956515618465,0.001002923783539815,104,0.5306122448979592,0.7029452919960022,0.7235878109931946,0.9101958274841309,-0.020642518997192383,-0.20725053548812866,True,True,True,-0.02936575467854443,-0.29483167160796253
sample_11,0,-0.04797850570668668,0.06622774025351034,0.0007414354524531325,0.0006617502058242599,108,0.5510204081632653,0.8905636072158813,0.5483364462852478,0.8034873008728027,0.34222716093063354,0.08707630634307861,True,True,True,0.3842815472782668,0.0977766277866444
sample_12,0,-0.04408811028811498,0.04351068936802393,0.0008125027413854282,0.0003803483333065348,98,0.5,0.9049097299575806,0.2837926149368286,0.93720543384552,0.621117115020752,-0.03229570388793945,False,True,False,0.6863857183300129,-0.03568942052314254
sample_13,0,-0.03981516484158166,0.04682098427051327,0.0010126971337044775,0.00048176699927488637,103,0.5255102040816326,0.9480711221694946,0.47223982214927673,0.9715914726257324,0.4758313000202179,-0.023520350456237793,False,True,False,0.5018940972818171,-0.024808635034063258
sample_14,0,-0.05174224287842195,0.054563889704715395,0.0010985876403675882,0.0007301561421887779,106,0.5408163265306123,0.9666828513145447,0.941862165927887,0.9448670148849487,0.024820685386657715,0.021815836429595947,False,False,False,0.025676141200710535,0.02256772880570878
sample_15,0,-0.06081443659867997,0.05607469763790035,0.0011516521072456143,0.000950975271470135,110,0.5612244897959183,0.9751161336898804,0.7371371984481812,0.8218014240264893,0.23797893524169922,0.1533147096633911,False,False,False,0.24405188984124068,0.15722712850954668
sample_16,0,-0.07164043026259151,0.059966259427997375,0.0011665970845075445,0.0011069429236470157,112,0.5714285714285714,0.981903612613678,0.7268611788749695,0.8327803611755371,0.2550424337387085,0.14912325143814087,False,False,False,0.2597428408067716,0.1518715783529887
sample_17,0,-0.09213316470140152,0.06570950853723553,0.001209642926038591,0.0010791895484437927,109,0.5561224489795918,0.9878765344619751,0.45859092473983765,0.6855365037918091,0.5292856097221375,0.302340030670166,False,True,False,0.5357811338340991,0.30605042241926395
sample_18,0,-0.089533398601162,0.081783338974448,0.001261816546462577,0.0010585490535812282,115,0.5867346938775511,0.9874753355979919,0.4062495529651642,0.5918281078338623,0.5812257826328278,0.39564722776412964,False,True,False,0.5885977721973694,0.400665427784619
sample_19,0,-0.08975382020524497,0.07132572071205273,0.0011265669651951778,0.0013786929129403977,115,0.5867346938775511,0.984174907207489,0.3739396929740906,0.24011601507663727,0.6102352142333984,0.7440588921308517,True,False,False,0.6200475238338355,0.7560230266813592
sample_20,0,-0.11723198814607753,0.06906206297471718,0.0011481380556762565,0.0019782776278644376,117,0.5969387755102041,0.9848029017448425,0.7955356240272522,0.8369507193565369,0.18926727771759033,0.14785218238830566,True,True,True,0.19218797729195616,0.15013378019738352
sample_21,0,-0.14403263001359531,0.06050308231477341,0.0012303995313812253,0.001645426040074993,113,0.576530612244898,0.9853261709213257,0.5619373321533203,0.7957373857498169,0.42338883876800537,0.1895887851715088,True,True,True,0.42969409649610457,0.19241220903960612
sample_22,0,-0.1905761231048755,0.052758446906214264,0.0012211214893554207,0.0020219205971348424,116,0.5918367346938775,0.9843107461929321,0.9036850333213806,0.9214993715286255,0.08062571287155151,0.06281137466430664,True,True,True,0.08191083271557444,0.06381254589289545
sample_23,0,-0.15806374857927413,0.13476044202263757,0.0012632741580201037,0.0012384947682197644,108,0.5510204081632653,0.9813584685325623,0.6494686007499695,0.9483853578567505,0.3318898677825928,0.03297311067581177,True,True,True,0.33819432798992594,0.03359945599197496
sample_24,0,-0.12787686697330555,0.2450027425441415,0.0012132295944048195,0.0012438395411153691,110,0.5612244897959183,0.9847415089607239,0.8825531005859375,0.9427376985549927,0.10218840837478638,0.0420038104057312,True,True,True,0.10377180960172375,0.04265465609351754
sample_25,0,-0.10014117795793254,0.1318742329677201,0.0012769172487832122,0.0005853597230100738,108,0.5510204081632653,0.9918248057365417,0.6941632628440857,0.9182665348052979,0.29766154289245605,0.0735582709312439,True,True,True,0.30011504165940756,0.07416458078664265
