,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.055556186,0.03825055,0.0017072319,-0.0005726144,21,0.10714285714285714,0.9500957131385803,0.9710001349449158,0.9479122161865234,-0.02090442180633545,0.0021834969520568848,True,True,True,-0.02200243777258928,0.0022981863004558167
sample_1,0,-0.012261033,0.025190277,0.0016883533,0.0017208346,28,0.14285714285714285,0.946395754814148,0.9818775653839111,0.9530866146087646,-0.035481810569763184,-0.006690859794616699,True,True,True,-0.03749151492837271,-0.007069832848025235
sample_2,0,-0.03369385,0.065629035,0.0016696581,0.00029595263,25,0.12755102040816327,0.9427314400672913,0.9026361703872681,0.8968396782875061,0.04009526968002319,0.045891761779785156,True,True,True,0.042530956299878186,0.048679570691425596
sample_3,0,-0.03900889,0.028771054,0.001696597,-0.0009406286,22,0.11224489795918367,0.9480113387107849,0.9539777636528015,0.9724627733230591,-0.0059664249420166016,-0.02445143461227417,True,True,True,-0.006293621920314196,-0.02579234405099632
sample_4,0,-0.015466391,0.012059854,0.0016922951,0.0026140963,35,0.17857142857142858,0.9471681714057922,0.9520038962364197,0.9299434423446655,-0.004835724830627441,0.01722472906112671,True,True,True,-0.005105455373833173,0.018185502407203645
sample_5,0,-0.018666321,0.040632397,0.0017897551,0.001699002,31,0.15816326530612246,0.966270387172699,0.7834264039993286,0.9896116256713867,0.18284398317337036,-0.023341238498687744,True,True,True,0.18922652044462493,-0.024156011411033778
sample_6,0,-0.06949909,0.04389123,0.0018964242,0.0013767007,27,0.1377551020408163,0.9871774911880493,0.9616319537162781,0.9964081645011902,0.02554553747177124,-0.00923067331314087,True,True,True,0.02587735002043824,-0.009350571093382538
sample_7,0,-0.06197906,0.033366546,0.0018897519,0.0036367038,32,0.16326530612244897,0.9858697652816772,0.9886866807937622,0.9856022000312805,-0.002816915512084961,0.0002675652503967285,True,True,True,-0.002857289686006475,0.00027140019890992524
sample_8,0,-0.039876524,0.026675241,0.0017064237,0.0018755747,30,0.15306122448979592,0.9499373435974121,0.8891921639442444,0.8960422873497009,0.060745179653167725,0.05389505624771118,True,True,True,0.06394651190690721,0.0567353800868704
sample_9,0,-0.027454583,0.033686146,0.0014950673,0.0037283283,29,0.14795918367346939,0.908511757850647,0.9656919836997986,0.7788914442062378,-0.05718022584915161,0.12962031364440918,True,True,True,-0.06293834433626741,0.14267323732943682
sample_10,0,-0.0501431,0.079732746,0.0004462601,0.00019986842,24,0.12244897959183673,0.7029452919960022,0.8695355653762817,0.9506108164787292,-0.16659027338027954,-0.24766552448272705,True,True,True,-0.23698895956362273,-0.3523254616009799
sample_11,0,-0.053427525,0.04072263,0.0014034971,0.0024509726,31,0.15816326530612246,0.8905636072158813,0.9263241291046143,0.8712536692619324,-0.03576052188873291,0.019309937953948975,True,True,True,-0.04015493289752655,0.021682828489159287
sample_12,0,-0.036382448,0.042759072,0.0014766911,0.0017721318,29,0.14795918367346939,0.9049097299575806,0.914542555809021,0.9619079828262329,-0.00963282585144043,-0.056998252868652344,False,False,False,-0.010645068267629289,-0.0629877776552632
sample_13,0,-0.056762293,0.04922067,0.0016969007,0.0010965634,25,0.12755102040816327,0.9480711221694946,0.9626510739326477,0.7612575888633728,-0.014579951763153076,0.18681353330612183,False,False,False,-0.015378542202392381,0.19704590609049646
sample_14,0,-0.040174916,0.016125526,0.0017918593,0.003756682,34,0.17346938775510204,0.9666828513145447,0.9607465863227844,0.9344814419746399,0.005936264991760254,0.032201409339904785,False,False,False,0.006140860969745991,0.03331124504393107
sample_15,0,-0.02270319,0.03382985,0.0018348867,0.001313601,28,0.14285714285714285,0.9751161336898804,0.9289854764938354,0.9550254344940186,0.04613065719604492,0.020090699195861816,False,False,False,0.047307859651018774,0.02060339122873269
sample_16,0,-0.045872733,0.033591244,0.0018695162,0.00028808686,29,0.14795918367346939,0.981903612613678,0.8896292448043823,0.9697136878967285,0.09227436780929565,0.012189924716949463,False,False,False,0.09397497536817828,0.012414583835272526
sample_17,0,-0.014973387,0.036420055,0.0018999903,0.00095555093,24,0.12244897959183673,0.9878765344619751,0.9839196801185608,0.9874284863471985,0.003956854343414307,0.00044804811477661133,False,False,False,0.004005413840069923,0.0004535466722272442
sample_18,0,-0.021251943,0.018687544,0.0018979439,0.000898213,26,0.1326530612244898,0.9874753355979919,0.9714270830154419,0.9848145246505737,0.01604825258255005,0.002660810947418213,False,False,False,0.016251800935191563,0.0026945593996095993
sample_19,0,-0.06256472,0.026294157,0.0018811048,0.0026157703,42,0.21428571428571427,0.984174907207489,0.6329977512359619,0.9409826397895813,0.3511771559715271,0.043192267417907715,True,True,True,0.35682392773857835,0.043886779780295385
sample_20,0,-0.03569111,0.031322647,0.001884309,0.0023079554,31,0.15816326530612246,0.9848029017448425,0.9807078242301941,0.9484540820121765,0.0040950775146484375,0.036348819732666016,True,True,True,0.004158271170193456,0.03690974068848125
sample_21,0,-0.007699566,0.053297974,0.0018869787,0.0011331378,32,0.16326530612244897,0.9853261709213257,0.994857907295227,0.9158449172973633,-0.009531736373901367,0.0694812536239624,True,True,True,-0.00967368639461667,0.07051599325631858
sample_22,0,-0.013618933,0.019191816,0.0018817968,0.002194793,30,0.15306122448979592,0.9843107461929321,0.9636088013648987,0.9489795565605164,0.020701944828033447,0.03533118963241577,True,True,True,0.0210319199583093,0.03589434512329361
sample_23,0,-0.027034841,0.014562414,0.0018667354,0.003735376,32,0.16326530612244897,0.9813584685325623,0.9958111047744751,0.9778987169265747,-0.014452636241912842,0.003459751605987549,True,True,True,-0.014727173306532986,0.003525471799475027
sample_24,0,-0.059646737,0.054914173,0.0018839957,0.0038431038,33,0.1683673469387755,0.9847415089607239,0.9495344758033752,0.9572235941886902,0.03520703315734863,0.02751791477203369,True,True,True,0.03575256332446615,0.027944302663828538
