,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.055556186,0.03825055,0.0017072319,-0.0005726144,87,0.44387755102040816,0.9500957131385803,0.9513531923294067,0.8033104538917542,-0.001257479190826416,0.14678525924682617,True,True,True,-0.001323528959700717,0.15449523370853918
sample_1,0,-0.012261033,0.025190277,0.0016883533,0.0017208346,116,0.5918367346938775,0.946395754814148,0.5655363202095032,0.8641161322593689,0.3808594346046448,0.08227962255477905,True,True,True,0.4024314697813046,0.08693997425098027
sample_2,0,-0.03369385,0.065629035,0.0016696581,0.00029595263,103,0.5255102040816326,0.9427314400672913,0.9587332010269165,0.9813508987426758,-0.016001760959625244,-0.03861945867538452,True,True,True,-0.016973827624209768,-0.040965493494762306
sample_3,0,-0.03900889,0.028771054,0.001696597,-0.0009406286,91,0.4642857142857143,0.9480113387107849,0.9389818906784058,0.9055858850479126,0.00902944803237915,0.042425453662872314,True,True,True,0.009524620290574198,0.04475205298764394
sample_4,0,-0.015466391,0.012059854,0.0016922951,0.0026140963,144,0.7346938775510204,0.9471681714057922,0.7920758128166199,0.954785943031311,0.15509235858917236,-0.007617771625518799,True,True,True,0.16374321189338892,-0.0080426811790059
sample_5,0,-0.018666321,0.040632397,0.0017897551,0.001699002,127,0.6479591836734694,0.966270387172699,0.7347767949104309,0.8588507175445557,0.23149359226226807,0.10741966962814331,True,True,True,0.23957434206342268,0.11116936941682812
sample_6,0,-0.06949909,0.04389123,0.0018964242,0.0013767007,111,0.5663265306122449,0.9871774911880493,0.7407863140106201,0.963413417339325,0.2463911771774292,0.023764073848724365,True,True,True,0.2495915672478534,0.024072746857431642
sample_7,0,-0.06197906,0.033366546,0.0018897519,0.0036367038,132,0.673469387755102,0.9858697652816772,0.6932530403137207,0.7946894764900208,0.29261672496795654,0.1911802887916565,True,True,True,0.2968107302533532,0.1939204299840086
sample_8,0,-0.039876524,0.026675241,0.0017064237,0.0018755747,125,0.6377551020408163,0.9499373435974121,0.4792369604110718,0.8361936211585999,0.47070038318634033,0.11374372243881226,True,False,True,0.4955067682714718,0.11973813136776458
sample_9,0,-0.027454583,0.033686146,0.0014950673,0.0037283283,121,0.6173469387755102,0.908511757850647,0.7608519196510315,0.7929737567901611,0.14765983819961548,0.11553800106048584,True,True,True,0.16252936401059737,0.12717281869177469
sample_10,0,-0.0501431,0.079732746,0.0004462601,0.00019986842,102,0.5204081632653061,0.7029452919960022,0.9282177090644836,0.7160617113113403,-0.22527241706848145,-0.013116419315338135,True,True,True,-0.3204693446752078,-0.018659232040795476
sample_11,0,-0.053427525,0.04072263,0.0014034971,0.0024509726,129,0.6581632653061225,0.8905636072158813,0.7089756727218628,0.7986196279525757,0.18158793449401855,0.09194397926330566,True,True,True,0.2039022625926818,0.10324246187281887
sample_12,0,-0.036382448,0.042759072,0.0014766911,0.0017721318,120,0.6122448979591837,0.9049097299575806,0.5451711416244507,0.8349601030349731,0.3597385883331299,0.06994962692260742,False,False,False,0.39754085564976005,0.07730011580921607
