,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.08623457,0.07755936,0.0020222845,0.00067495106,16,0.08163265306122448,0.9500957131385803,0.8329174518585205,0.9053268432617188,0.11717826128005981,0.04476886987686157,True,True,True,0.1233331122955696,0.04712037877633452
sample_1,0,-0.109585315,0.0661391,0.002003407,0.0005180872,16,0.08163265306122448,0.946395754814148,0.8921379446983337,0.9819066524505615,0.05425781011581421,-0.035510897636413574,True,True,True,0.05733099481883167,-0.03752224949845338
sample_2,0,-0.13191737,0.06369524,0.0019847117,0.0007692452,16,0.08163265306122448,0.9427314400672913,0.9248908162117004,0.9623814821243286,0.01784062385559082,-0.019650042057037354,True,True,True,0.018924396808403222,-0.020843732607066498
sample_3,0,-0.114114605,0.057743367,0.00201165,0.0013225216,18,0.09183673469387756,0.9480113387107849,0.9683972001075745,0.9606948494911194,-0.02038586139678955,-0.012683510780334473,True,True,True,-0.02150381600341679,-0.013379070758355035
sample_4,0,-0.070626326,0.0528298,0.0020073485,0.0011514914,16,0.08163265306122448,0.9471681714057922,0.9669692516326904,0.9344671368598938,-0.019801080226898193,0.012701034545898438,True,True,True,-0.02090555914427458,0.013409482000485185
sample_5,0,-0.021905558,0.08228191,0.0021048086,0.0006120843,16,0.08163265306122448,0.966270387172699,0.9545623660087585,0.9815919399261475,0.01170802116394043,-0.015321552753448486,True,True,True,0.012116713209227104,-0.015856382392385276
sample_6,0,-0.022635683,0.09518852,0.0022114774,0.0007149303,16,0.08163265306122448,0.9871774911880493,0.9954671859741211,0.9759885668754578,-0.008289694786071777,0.011188924312591553,True,True,True,-0.008397370138672111,0.011334257934837935
sample_7,0,-0.024235617,0.085276164,0.0022048051,0.0006929779,16,0.08163265306122448,0.9858697652816772,0.973053514957428,0.9765266180038452,0.012816250324249268,0.009343147277832031,True,True,True,0.01299994256400335,0.00947706036523248
sample_8,0,-0.039911646,0.08569687,0.0020214766,0.00029581308,15,0.07653061224489796,0.9499373435974121,0.9597848653793335,0.965793251991272,-0.009847521781921387,-0.015855908393859863,True,True,True,-0.010366496115026732,-0.016691530763295975
sample_9,0,-0.051257636,0.1171137,0.001810121,0.00021881759,14,0.07142857142857142,0.908511757850647,0.9268640279769897,0.9464401006698608,-0.018352270126342773,-0.03792834281921387,True,True,True,-0.02020036611277381,-0.041747773203226965
sample_10,0,-0.11404288,0.1297737,0.0007613133,6.0132144e-05,14,0.07142857142857142,0.7029452919960022,0.834652841091156,0.957885205745697,-0.1317075490951538,-0.2549399137496948,True,True,True,-0.1873652908623547,-0.36267390457342263
