,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.08623457,0.07755936,0.0020222845,0.00067495106,98,0.5,0.9500957131385803,0.7811883091926575,0.9780290722846985,0.16890740394592285,-0.027933359146118164,True,True,True,0.17777935592188715,-0.02940057381570758
sample_1,0,-0.109585315,0.0661391,0.002003407,0.0005180872,96,0.4897959183673469,0.946395754814148,0.5381178259849548,0.5113863348960876,0.4082779288291931,0.4350094199180603,True,True,True,0.43140295880698476,0.4596485325565381
sample_2,0,-0.13191737,0.06369524,0.0019847117,0.0007692452,100,0.5102040816326531,0.9427314400672913,0.8316248059272766,0.7866801619529724,0.11110663414001465,0.15605127811431885,True,True,True,0.11785608224976984,0.16553100011513358
sample_3,0,-0.114114605,0.057743367,0.00201165,0.0013225216,107,0.5459183673469388,0.9480113387107849,0.3571297526359558,0.9746647477149963,0.5908815860748291,-0.026653409004211426,True,False,True,0.6232853574076213,-0.028115074067001988
sample_4,0,-0.070626326,0.0528298,0.0020073485,0.0011514914,100,0.5102040816326531,0.9471681714057922,0.6853383779525757,0.7979745268821716,0.26182979345321655,0.1491936445236206,True,True,True,0.27643432429175413,0.15751547510532007
sample_5,0,-0.021905558,0.08228191,0.0021048086,0.0006120843,100,0.5102040816326531,0.966270387172699,0.7488170266151428,0.9498289227485657,0.21745336055755615,0.0164414644241333,True,True,True,0.22504400781009476,0.017015386834156144
sample_6,0,-0.022635683,0.09518852,0.0022114774,0.0007149303,98,0.5,0.9871774911880493,0.5176158547401428,0.9765535593032837,0.4695616364479065,0.010623931884765625,True,True,True,0.47566080126360866,0.010761926785810245
sample_7,0,-0.024235617,0.085276164,0.0022048051,0.0006929779,99,0.5051020408163265,0.9858697652816772,0.6499453186988831,0.9937830567359924,0.3359244465827942,-0.007913291454315186,True,True,True,0.34073917104742096,-0.00802671076138971
sample_8,0,-0.039911646,0.08569687,0.0020214766,0.00029581308,92,0.46938775510204084,0.9499373435974121,0.3808831572532654,0.9773185849189758,0.5690541863441467,-0.02738124132156372,True,False,True,0.5990439160851798,-0.028824260364237263
sample_9,0,-0.051257636,0.1171137,0.001810121,0.00021881759,86,0.4387755102040816,0.908511757850647,0.05433988198637962,0.7391400933265686,0.8541718758642673,0.16937166452407837,True,False,True,0.9401880256179219,0.18642759772837403
sample_10,0,-0.11404288,0.1297737,0.0007613133,6.0132144e-05,84,0.42857142857142855,0.7029452919960022,0.2819676101207733,0.607014536857605,0.4209776818752289,0.09593075513839722,True,False,True,0.5988768779998075,0.1364697313300205
sample_11,0,-0.06544259,0.10782144,0.0017185494,0.00016623855,84,0.42857142857142855,0.8905636072158813,0.5583361983299255,0.9406419396400452,0.3322274088859558,-0.05007833242416382,True,True,True,0.3730529814985137,-0.05623217928332023
sample_12,0,-0.10351588,0.07323534,0.0017917439,0.00048624398,89,0.45408163265306123,0.9049097299575806,0.5971611142158508,0.8689877986907959,0.30774861574172974,0.03592193126678467,False,False,False,0.34008764140060255,0.03969670131458149
sample_13,0,-0.122579746,0.043936796,0.0020119548,0.00071499165,89,0.45408163265306123,0.9480711221694946,0.870989978313446,0.42259663343429565,0.07708114385604858,0.525474488735199,False,False,True,0.08130312384123872,0.5542564017061744
sample_14,0,-0.1414434,0.05611122,0.0021069131,0.0008214044,91,0.4642857142857143,0.9666828513145447,0.24831263720989227,0.8855523467063904,0.7183702141046524,0.0811305046081543,False,True,False,0.7431291587802307,0.08392670305243224
