,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random
0.05,0.017328081129782447,0.0046784865573986775,0.013527863631508211,0.6519507186858317,0.6498973305954825,0.6570841889117043,3.2315019236985445,36.44162771472428,1.6337242856446028,11.6220954218951,0.46919917864476385,0.5297741273100616,0.001026694045174538,0.4404517453798768,0.5503080082135524,0.009240246406570842
0.15,0.0670389305619578,0.017011783993177522,0.035061989444511596,0.6519507186858317,0.6581108829568788,0.6652977412731006,1.217884108483093,10.51895407976061,0.5644502474539059,4.485701824272569,0.3891170431211499,0.6047227926078029,0.006160164271047228,0.41581108829568786,0.5523613963039015,0.03182751540041068
0.25,0.11724741231194732,0.04772444191476011,0.049298469914935604,0.6519507186858317,0.6704312114989733,0.6581108829568788,1.6521540033081756,6.174513577213414,0.812260725551436,3.0730103004851523,0.3141683778234086,0.660164271047228,0.02566735112936345,0.40349075975359344,0.5349075975359343,0.061601642710472276
0.35,0.16657587059464438,0.08509058231455707,0.07123959257280826,0.6519507186858317,0.6848049281314168,0.6735112936344969,1.6229604179434318,3.5582075901694346,0.6873429406696294,2.446388655731549,0.28336755646817247,0.6540041067761807,0.06262833675564682,0.36344969199178645,0.5677618069815195,0.06878850102669405
0.45,0.21629719649666845,0.12365905062190373,0.08848301459483349,0.6519507186858317,0.6765913757700205,0.6786447638603696,1.1350933769359006,2.025254728308288,0.4724603168641546,1.3995395516176767,0.25051334702258726,0.6519507186858317,0.09753593429158111,0.33675564681724846,0.5616016427104723,0.10164271047227925
0.55,0.2659504253446758,0.15272156285481747,0.11043336813778973,0.6519507186858317,0.688911704312115,0.6858316221765913,0.8325152335514225,1.312459792073719,0.515461343459986,1.0476944655855043,0.21252566735112938,0.6591375770020534,0.12833675564681724,0.32340862422997946,0.5544147843942505,0.12217659137577003
0.65,0.3156717512466999,0.19659401470548052,0.1386620294095836,0.6519507186858317,0.6950718685831622,0.675564681724846,0.7320291153326153,0.5071134286776489,0.34444511931173366,0.7070223804242537,0.17659137577002054,0.660164271047228,0.16324435318275154,0.28952772073921973,0.5667351129363449,0.1437371663244353
0.75,0.3659430918157817,0.24785589591199278,0.15128177866530299,0.6519507186858317,0.6786447638603696,0.686858316221766,0.51604926424289,-0.16271768422976374,0.4445670731930153,0.6195335746993482,0.162217659137577,0.6006160164271047,0.23716632443531827,0.28439425051334705,0.5667351129363449,0.14887063655030802
0.85,0.4152086912793865,0.29250158254335135,0.1625631742361637,0.6519507186858317,0.6611909650924025,0.6930184804928131,0.2713082577002519,-0.1549963850922489,0.3309441023277812,0.27216074945467783,0.1406570841889117,0.5954825462012321,0.26386036960985626,0.28952772073921973,0.555441478439425,0.15503080082135523
0.95,0.46491954071156183,0.36138585540374357,0.1843812752910742,0.6519507186858317,0.6765913757700205,0.6827515400410678,0.03572943349727869,-0.3838863732939628,0.1549178613636875,0.20477385950048754,0.11293634496919917,0.555441478439425,0.3316221765913758,0.25770020533880905,0.5462012320328542,0.19609856262833675
1.0,0.4921478858483844,0.4461509654498939,0.19924376930229434,0.6519507186858317,0.6365503080082136,0.6858316221765913,-0.20375752685422774,-0.7347371424135298,0.2017329569577035,-0.05306397735044266,0.10574948665297741,0.45071868583162217,0.44353182751540043,0.2515400410677618,0.5482546201232033,0.2002053388090349
