,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random,skewness_scaled,skewness_scaled_random,kurtosis_scaled,kurtosis_scaled_random
0.05,0.0173280811297824,0.2752474380149305,0.0208713915753296,0.6519507186858317,0.6498973305954825,0.6632443531827515,0.6439549774978766,-0.2536378137741431,2.332841403634364,13.617677321778237,0.0841889117043121,0.6837782340862423,0.2320328542094455,0.4486652977412731,0.5369609856262834,0.0143737166324435,0.45179133916095404,1.0,0.05622818887722659,0.9377469018370196
0.15,0.0670389305619578,0.399021446464171,0.0374027763379962,0.6519507186858317,0.6201232032854209,0.6642710472279261,0.1126879434665767,-0.9871186393570128,1.0536698946514291,4.953861121539476,0.0677618069815195,0.5410677618069816,0.3911704312114989,0.4158110882956878,0.5492813141683778,0.0349075975359342,0.2793432782570092,0.5847838616790892,0.009615660286385812,0.38716348335637923
0.25,0.1172474123119473,0.4404879110368951,0.0629997979873168,0.6519507186858317,0.5985626283367557,0.6806981519507187,-0.1568718401873297,-0.559085400894876,0.9181338661834388,2.864866661867188,0.0708418891170431,0.4928131416837782,0.4363449691991786,0.3767967145790554,0.5595482546201233,0.0636550308008213,0.19184479065827675,0.5407891776600734,0.0368170687891802,0.25440839204202403
0.35,0.1665758705946443,0.4762703252758646,0.0777993791680944,0.6519507186858317,0.5965092402464066,0.6724845995893224,-0.3086352910159941,-0.5887941748187924,0.8413781431362528,2.062963340744761,0.0616016427104722,0.4537987679671458,0.4845995893223819,0.3747433264887063,0.5390143737166324,0.0862422997946611,0.14258272255496499,0.515874445981112,0.034929083410929956,0.2034476304526453
0.45,0.2162971964966684,0.4771558890118323,0.0846082930914867,0.6519507186858317,0.5882956878850103,0.6909650924024641,-0.2841674931711676,-0.4982201664648307,0.6839206966821412,1.5180791786998444,0.0677618069815195,0.4517453798767967,0.4804928131416838,0.3470225872689938,0.555441478439425,0.0975359342915811,0.15052491362395093,0.46476411995569084,0.04068503967690476,0.16882037409344625
0.55,0.2659504253446758,0.4754107248807044,0.1347895403513661,0.6519507186858317,0.6016427104722792,0.6878850102669405,-0.202425476201075,-0.7462835328404376,0.5719109744473669,0.7283593236408388,0.0657084188911704,0.4527720739219713,0.4815195071868583,0.3234086242299794,0.528747433264887,0.1478439425051334,0.17705818487533323,0.4284060209876335,0.02492067290107989,0.11863386881781025
0.65,0.3156717512466999,0.477797012297459,0.1192345378753137,0.6519507186858317,0.6180698151950719,0.6827515400410678,-0.3431515010807386,-0.4239892783588819,0.4550009976270444,0.8349649714719671,0.0728952772073922,0.4548254620123203,0.4722792607802875,0.3141683778234086,0.5595482546201233,0.1262833675564681,0.131378839923189,0.3904573106187496,0.04540239461445536,0.12540863188475856
0.75,0.3659430918157817,0.467805695277504,0.1425858552209669,0.6519507186858317,0.6098562628336756,0.6632443531827515,-0.3115580760716354,-0.5047602108525235,0.298315912444528,0.4206670207456944,0.0749486652977412,0.4373716632443531,0.4876796714579055,0.3008213552361396,0.5503080082135524,0.148870636550308,0.14163399322866035,0.33959769129084966,0.0402694214420798,0.0990800975866615
0.85,0.4152086912793865,0.4616610766078785,0.1657946528342276,0.6519507186858317,0.6416837782340863,0.6991786447638604,-0.2914132428047324,-0.4618760831110835,0.3635572692302252,0.1632505294568105,0.082135523613963,0.4476386036960985,0.4702258726899384,0.284394250513347,0.5390143737166324,0.1765913757700205,0.14817295990940876,0.3607748860869662,0.04299469736030529,0.08272134199080527
0.95,0.4649195407115618,0.4743240690885982,0.1675087432553041,0.6519507186858317,0.6098562628336756,0.6817248459958932,-0.2795446031159659,-0.7390032905754929,0.1723980917120699,0.3014486769683944,0.0811088295687885,0.4404517453798768,0.4784394250513347,0.2731006160164271,0.5492813141683778,0.177618069815195,0.1520254931343007,0.2987250554455703,0.025383330531500308,0.09150380075101336
1.0,0.4921478858483844,0.4625465561543718,0.191777184813137,0.6519507186858317,0.6242299794661191,0.6981519507186859,-0.2369671464455628,-0.6389604235046753,0.1368285085108258,0.2701505074707513,0.0893223819301848,0.4517453798767967,0.4589322381930185,0.2464065708418891,0.5605749486652978,0.1930184804928131,0.1658460379275998,0.28717925030936325,0.031741030472657535,0.08951480966949389
