,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random,skewness_scaled,skewness_scaled_random,kurtosis_scaled,kurtosis_scaled_random
0.05,0.017846666387294,0.200431980056806,0.0161247395461399,0.6519507186858317,0.6386036960985626,0.6673511293634496,0.957803375157092,0.3041747982007954,1.7422787622579838,12.600852505557947,0.2289527720739219,0.5934291581108829,0.177618069815195,0.4527720739219713,0.5379876796714579,0.0092402464065708,0.5536658092997379,0.8083047209331108,0.0916770450942263,0.8731279313543485
0.15,0.068730880442526,0.3034474970667069,0.0534069726684325,0.6519507186858317,0.635523613963039,0.6673511293634496,0.3935769337514778,-0.7796315233011359,1.3104708519836354,4.091791816709747,0.164271047227926,0.5215605749486653,0.3141683778234086,0.406570841889117,0.5431211498973306,0.0503080082135523,0.3705192003471504,0.6681408635133242,0.022801416194456185,0.3323791880931324
0.25,0.1200760591711016,0.3532004903529791,0.072540242334035,0.6519507186858317,0.6180698151950719,0.6837782340862423,0.1290393791977488,-0.873580788104535,1.0944273491749823,2.554097039908598,0.1519507186858316,0.4835728952772073,0.364476386036961,0.3603696098562628,0.5698151950718686,0.0698151950718685,0.2846509167969717,0.5980136379492904,0.01683096319964625,0.23465905793066769
0.35,0.1704469262037463,0.3906129303563974,0.078404778625948,0.6519507186858317,0.6170431211498973,0.6663244353182751,0.0443043769873676,-0.953016025587178,0.55000892097475,1.6496746319672893,0.1324435318275154,0.4743326488706365,0.3932238193018481,0.3613963039014374,0.5595482546201233,0.0790554414784394,0.25714612940033676,0.4212966646579035,0.011782873121302965,0.17718323323564533
0.45,0.2214044755479193,0.4113062647564701,0.0953015686229295,0.6519507186858317,0.608829568788501,0.6930184804928131,0.0144903160700486,-1.003478932220133,0.5319957902197228,1.1699567114760585,0.1139630390143737,0.4743326488706365,0.4117043121149897,0.3459958932238193,0.5431211498973306,0.1108829568788501,0.24746855359848333,0.415449643723925,0.00857596764243604,0.14669727572384966
0.55,0.2720005866823115,0.4298091928550481,0.1283661770699928,0.6519507186858317,0.5913757700205339,0.6796714579055442,-0.1350249318069283,-0.8788497653043748,0.6205917039336162,0.66822937638003,0.1139630390143737,0.4425051334702258,0.4435318275154004,0.2915811088295688,0.5749486652977412,0.1334702258726899,0.19893624701753657,0.4442076741404594,0.01649612097636543,0.11481262525137768
0.65,0.3229581360264845,0.4253415688087341,0.1347980739250449,0.6519507186858317,0.6057494866529775,0.6704312114989733,-0.1912568237059677,-0.7768263477214599,0.4653604034277765,0.6395090635291703,0.12217659137577,0.4425051334702258,0.4353182751540041,0.3008213552361396,0.555441478439425,0.1437371663244353,0.1806835038624281,0.3938199499846774,0.02297968442226715,0.11298745633461049
0.75,0.374287600050287,0.425619352337776,0.1663865978675413,0.6519507186858317,0.6180698151950719,0.6858316221765913,-0.1407242227107876,-0.8676116388391804,0.3472439731901876,0.1996885824796517,0.1057494866529774,0.4568788501026694,0.4373716632443531,0.3018480492813141,0.5174537987679672,0.1806981519507187,0.19708627026019812,0.355479627603281,0.01721030118789323,0.08503697142388833
0.85,0.4246741817877048,0.4267419613064543,0.1808857146297636,0.6519507186858317,0.6232032854209446,0.6971252566735113,-0.131442981760795,-0.8136279097650703,0.3631883776962439,0.2134087156357207,0.1129363449691991,0.4579055441478439,0.4291581108829568,0.2854209445585215,0.5205338809034907,0.1940451745379876,0.20009893978810683,0.36065514474100646,0.02064095407906804,0.0859088825587148
0.95,0.4755583958429367,0.4361465560717236,0.1954807837072163,0.6519507186858317,0.6273100616016427,0.7073921971252567,-0.2566838999712713,-0.6564980515462833,0.2644256410524976,0.0220906105513178,0.1119096509240246,0.4414784394250513,0.446611909650924,0.2607802874743326,0.5308008213552361,0.2084188911704312,0.1594460249491376,0.3285969869167858,0.030626518463628034,0.07375066337676747
1.0,0.5033262791769685,0.4374647452862678,0.2009820659830853,0.6519507186858317,0.6303901437371663,0.6940451745379876,-0.1176414378845304,-0.8618546908846363,0.1180868120110061,0.0722213521051746,0.0965092402464065,0.4640657084188911,0.4394250513347023,0.2464065708418891,0.5472279260780287,0.2063655030800821,0.2045788892795754,0.28109573860542847,0.017576153834298707,0.0769364598454104
