,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random
0.05,0.018527636927460872,0.002666285957242528,0.012912497541547777,0.6519507186858317,0.662217659137577,0.660164271047228,1.8117183693269556,20.666711233611576,1.1899140478225916,13.225835376295855,0.4989733059548255,0.4989733059548255,0.002053388090349076,0.44969199178644764,0.5431211498973306,0.007186858316221766
0.15,0.07065331265976613,0.022761604584056187,0.042616160400436746,0.6519507186858317,0.6683778234086243,0.6735112936344969,1.3679168729843678,7.77860772770147,1.0802789944323785,3.94494979015514,0.406570841889117,0.5749486652977412,0.018480492813141684,0.4260780287474333,0.5236139630390144,0.050308008213552365
0.25,0.12320852365586889,0.042543946029011015,0.062385274814000996,0.6519507186858317,0.6724845995893224,0.6837782340862423,1.1527505043958308,4.658450752466571,0.9734039063533475,3.141321747911169,0.3726899383983573,0.5954825462012321,0.03182751540041068,0.3798767967145791,0.5677618069815195,0.052361396303901436
0.35,0.17496752294346893,0.05342095268757681,0.07668553792505095,0.6519507186858317,0.6765913757700205,0.6683778234086243,1.3163944398435634,4.833308003825761,0.7033581263595113,1.8949124602496248,0.36960985626283366,0.5924024640657084,0.037987679671457907,0.3737166324435318,0.5410677618069816,0.08521560574948665
0.45,0.2270093869169844,0.08258729012367792,0.11056488365125029,0.6519507186858317,0.6858316221765913,0.6878850102669405,1.1383037919037975,2.765379838642234,0.6749163993359948,1.3198301469477984,0.3480492813141684,0.5841889117043121,0.06776180698151951,0.33059548254620125,0.555441478439425,0.11396303901437371
0.55,0.279271256757323,0.10990303919817225,0.12456388518746697,0.6519507186858317,0.686858316221766,0.6786447638603696,1.0761976794008767,1.9816328269809684,0.5344901005363585,0.9580041176380747,0.31519507186858314,0.5852156057494866,0.09958932238193019,0.3080082135523614,0.5759753593429158,0.11601642710472279
0.65,0.3313131207308385,0.1580651549681612,0.12839394866506193,0.6519507186858317,0.6848049281314168,0.648870636550308,0.88460365905059,0.8492791914882996,0.43459940472881775,0.5930083100615087,0.2731006160164271,0.5882956878850103,0.13860369609856263,0.3316221765913758,0.5154004106776181,0.15297741273100615
0.75,0.3839678581905041,0.2107113061634648,0.1496263471807525,0.6519507186858317,0.6796714579055442,0.6858316221765913,0.7135240509300734,0.24472435529966496,0.3217715306289769,0.6870783387547292,0.20841889117043122,0.6108829568788501,0.1806981519507187,0.2946611909650924,0.5544147843942505,0.15092402464065707
0.85,0.4356273310145413,0.27179530636517935,0.16867832097006139,0.6519507186858317,0.6663244353182751,0.6919917864476386,0.47423673815502526,-0.2994063023346465,0.355378678816519,0.23484337595532523,0.1591375770020534,0.5852156057494866,0.25564681724845995,0.2741273100616016,0.5503080082135524,0.175564681724846
0.95,0.4877530067468466,0.3676935503964966,0.19430520700935744,0.6519507186858317,0.6396303901437371,0.6796714579055442,0.11727087360476801,-0.5982774402290776,0.20783944100855922,0.1761943716736014,0.11088295687885011,0.5513347022587269,0.337782340862423,0.2618069815195072,0.5564681724845996,0.18172484599589322
1.0,0.5161756694464233,0.5326900589878718,0.19750905672232516,0.6519507186858317,0.5338809034907598,0.6806981519507187,-0.3476423308257499,-0.7331956602214009,0.2645817939401149,-0.09435064316618824,0.053388090349075976,0.39630390143737165,0.5503080082135524,0.24435318275154005,0.5400410677618069,0.21560574948665298
