,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random,skewness_scaled,skewness_scaled_random,kurtosis_scaled,kurtosis_scaled_random
0.05,0.0185276369274608,0.2320137434558022,0.0134621985176156,0.6519507186858317,0.6468172484599589,0.6611909650924025,0.7929069482767738,-0.238455891442348,1.1712664846802017,10.288884453531535,0.1591375770020534,0.6242299794661191,0.2166324435318275,0.4486652977412731,0.5431211498973306,0.0082135523613963,0.5001408072876147,0.6229554451208416,0.057192996359674904,0.7262029223187634
0.15,0.0706533126597661,0.3851393242768443,0.0448121645832922,0.6519507186858317,0.6273100616016427,0.6765913757700205,0.2502613243824697,-1.138427797186493,1.0248310698755871,3.9047261677511633,0.0934291581108829,0.5297741273100616,0.3767967145790554,0.4045174537987679,0.555441478439425,0.0400410677618069,0.3239992822084002,0.5754228452922724,0.0,0.3204912114667263
0.25,0.1232085236558688,0.4371930098756211,0.063430031697572,0.6519507186858317,0.6016427104722792,0.6714579055441479,0.1080223158671292,-1.1337178248189603,0.8394444613322124,2.9893601645719343,0.0574948665297741,0.5154004106776181,0.4271047227926078,0.3726899383983573,0.5687885010266941,0.0585215605749486,0.27782882623780625,0.5152467773019891,0.0002993176017508278,0.26231992394824327
0.35,0.1749675229434689,0.4830935415646303,0.0754118106534738,0.6519507186858317,0.5523613963039015,0.6765913757700205,-0.127173802840059,-1.10300878252218,0.848066799153909,2.290664230140236,0.0667351129363449,0.4394250513347023,0.4938398357289528,0.3634496919917864,0.5585215605749486,0.0780287474332648,0.20148470547536673,0.5180455683855004,0.0022508697925235238,0.21791796675444586
0.45,0.2270093869169844,0.5024399940196507,0.1009117745418868,0.6519507186858317,0.5595482546201233,0.688911704312115,-0.1972252945230688,-0.8737410018677609,0.6620095195575465,1.2262440320404595,0.0523613963039014,0.4425051334702258,0.5051334702258727,0.3357289527720739,0.5544147843942505,0.1098562628336755,0.17874615192255555,0.4576518021094519,0.016820781653846355,0.15027432129559315
0.55,0.279271256757323,0.5158735121631742,0.1221571991410171,0.6519507186858317,0.5503080082135524,0.6950718685831622,-0.2307885010551241,-0.894869473707812,0.60182976756835,0.8356370942534097,0.0451745379876796,0.4394250513347023,0.5154004106776181,0.3234086242299794,0.5431211498973306,0.1334702258726899,0.16785161205198917,0.43811759262261624,0.015478072392234057,0.1254513451245241
0.65,0.3313131207308385,0.5240731987705752,0.1453899177019171,0.6519507186858317,0.5420944558521561,0.688911704312115,-0.3294402293034535,-0.8115583546836955,0.5047141332858853,0.6558530831292688,0.0636550308008213,0.4086242299794661,0.5277207392197125,0.2987679671457905,0.5574948665297741,0.1437371663244353,0.1358294872983478,0.4065940804476052,0.02077247380260579,0.11402611481664164
0.75,0.3839678581905041,0.5180228300544302,0.1630721772223487,0.6519507186858317,0.5410677618069816,0.6694045174537988,-0.3221488877896776,-0.6574376656159377,0.3701480489278545,0.4647249353083471,0.0544147843942505,0.4260780287474333,0.5195071868583162,0.2525667351129363,0.5872689938398358,0.1601642710472279,0.13819624003265166,0.3629142380623314,0.0305668062173654,0.10187996737272238
0.85,0.4356273310145413,0.5320282089469676,0.1643010698376283,0.6519507186858317,0.5318275154004107,0.7012320328542094,-0.4189563157369486,-0.6655350201058119,0.2474876137196907,0.3805254134767928,0.0585215605749486,0.3757700205338809,0.5657084188911704,0.2792607802874743,0.553388090349076,0.1673511293634497,0.10677277092724188,0.32309894208814977,0.030052221303206946,0.09652910817938275
0.95,0.4877530067468466,0.5237186298777059,0.2139907461544599,0.6519507186858317,0.528747433264887,0.6878850102669405,-0.354795803729452,-0.6559563595832971,0.1958067848071485,-0.052600807919612,0.0574948665297741,0.4106776180698152,0.5318275154004107,0.2402464065708419,0.5328542094455853,0.2268993839835729,0.12759912598703124,0.306323463541609,0.03066094285651118,0.06900404184620461
1.0,0.5161756694464233,0.5243960348324641,0.206211220601636,0.6519507186858317,0.5462012320328542,0.6817248459958932,-0.4853263873472463,-0.3067384817969945,0.0456853592556941,-0.085611874249083,0.0585215605749486,0.4024640657084189,0.5390143737166324,0.2618069815195072,0.5184804928131417,0.2197125256673511,0.08522919788751607,0.2575943930776603,0.05285365430170992,0.06690619658641361
