,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random,skewness_scaled,skewness_scaled_random,kurtosis_scaled,kurtosis_scaled_random
0.05,0.0204762603193227,0.0738271610515519,0.0098079535173172,0.6519507186858317,0.6611909650924025,0.6652977412731006,1.9263032685088677,5.839851386304764,1.2981024831334562,13.55510606092469,0.3305954825462012,0.6211498973305954,0.0482546201232032,0.446611909650924,0.5441478439425051,0.0092402464065708,0.8680386536429298,0.6641261193486553,0.4434679498225072,0.9337705133838065
0.15,0.0764415622511837,0.1301885503642653,0.0449398999660046,0.6519507186858317,0.6642710472279261,0.6673511293634496,1.2286864062857228,1.6630679681061444,1.0059279176600429,4.035596766393323,0.2813141683778234,0.6160164271047228,0.1026694045174538,0.4127310061601643,0.5410677618069816,0.0462012320328542,0.6415938199941924,0.5692869254332761,0.17803437649927872,0.32880800627327156
0.25,0.1330459288438167,0.1735966228799635,0.0631316862513853,0.6519507186858317,0.6930184804928131,0.6960985626283368,1.0026928300082163,0.7904635888268072,0.8416637412258704,2.464154732780824,0.2484599589322381,0.608829568788501,0.1427104722792607,0.37782340862423,0.5564681724845996,0.0657084188911704,0.5682368234004461,0.5159671504660462,0.12258057980959888,0.22894324612442457
0.35,0.1884612161086199,0.2046877030668704,0.0849986945219422,0.6519507186858317,0.6581108829568788,0.6786447638603696,0.7536111633316657,0.1279988783126842,0.7383552615408883,1.711988413880909,0.2238193018480492,0.5831622176591376,0.1930184804928131,0.3593429158110883,0.5503080082135524,0.0903490759753593,0.4873854856105631,0.4824334548752896,0.08048110810940262,0.1811432589646667
0.45,0.2445155680341951,0.2262364645876563,0.1289995966813125,0.6519507186858317,0.6673511293634496,0.6796714579055442,0.3645424105161994,0.047852303179646,0.5856231579893135,0.8161708517685189,0.2145790554414784,0.5677618069815195,0.217659137577002,0.3090349075975359,0.5595482546201233,0.1314168377823408,0.3610946606891913,0.43285696431951043,0.07538781269588178,0.12421427013532836
0.55,0.300507061140678,0.2442241656074326,0.1349711164539372,0.6519507186858317,0.6714579055441479,0.6714579055441479,0.3633976425488678,-0.0721417489520632,0.5339099812380973,0.5495446115756235,0.2012320328542094,0.5646817248459959,0.2340862422997946,0.3162217659137577,0.5492813141683778,0.1344969199178644,0.36072307163226586,0.4160709857387186,0.0677622197824264,0.10727023723005977
0.65,0.3565614130662531,0.2679702810605051,0.1589101164932548,0.6519507186858317,0.6827515400410678,0.6940451745379876,0.3034301903010257,-0.529213752246434,0.4533446541435845,0.479498866487182,0.1960985626283367,0.5369609856262834,0.2669404517453799,0.2751540041067762,0.5698151950718686,0.1550308008213552,0.34125777415461167,0.38991966532247335,0.03871540481667563,0.10281884711634119
0.75,0.4129929179063822,0.2790997939700966,0.1807748670762624,0.6519507186858317,0.6745379876796714,0.6940451745379876,0.257307365648714,-0.4458414153203796,0.3320301166080661,0.1799514801985609,0.1827515400410677,0.5462012320328542,0.271047227926078,0.2659137577002053,0.5441478439425051,0.1899383983572895,0.3262864110448968,0.350541244646316,0.04401369660986969,0.08378268336032975
0.85,0.4685810669236894,0.2908901532294793,0.2087603615884071,0.6519507186858317,0.6642710472279261,0.6796714579055442,-0.0079785339948487,-0.0740262377991665,0.242231863813778,-0.1100584310717041,0.1735112936344969,0.5410677618069816,0.2854209445585215,0.2566735112936344,0.5328542094455853,0.2104722792607803,0.2401752163947209,0.32139293772158234,0.06764246097319655,0.06535262382882107
0.95,0.5245463688555505,0.3018380673967966,0.2210227683031259,0.6519507186858317,0.6786447638603696,0.6735112936344969,0.1011196948621967,-0.4397507693706637,0.1754636450219228,-0.054643115758497,0.1673511293634497,0.5472279260780287,0.2854209445585215,0.2412731006160164,0.5328542094455853,0.2258726899383983,0.27558825128922904,0.29972012701978484,0.04440075568294391,0.06887425367831941
1.0,0.5549909902359301,0.2878697041415854,0.2285798670473218,0.6519507186858317,0.6591375770020534,0.7114989733059548,0.0324810359195472,-0.2266643689283953,0.0280060748849376,-0.0222144930728633,0.177618069815195,0.5482546201232033,0.2741273100616016,0.2299794661190965,0.526694045174538,0.2433264887063655,0.2533083000039216,0.2518557379144138,0.05794234475589834,0.07093508478579176
