,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random,skewness_scaled,skewness_scaled_random,kurtosis_scaled,kurtosis_scaled_random
0.05,0.018951933956334,0.2407950771098372,0.0207893834518244,0.6519507186858317,0.6478439425051334,0.6560574948665298,0.7960677519978103,-0.0439929632036619,2.0452035038033207,14.59727347792083,0.1324435318275154,0.6652977412731006,0.2022587268993839,0.433264887063655,0.5503080082135524,0.0164271047227926,0.5011667969268638,0.9066333973483018,0.06955106829043223,1.0
0.15,0.0720414449147215,0.4219534557719625,0.0462245464592092,0.6519507186858317,0.6119096509240246,0.6714579055441479,0.1143787720596235,-1.0826826830268468,0.858758428886874,4.816455388695565,0.0667351129363449,0.5174537987679672,0.4158110882956878,0.3901437371663244,0.5718685831622177,0.0379876796714579,0.2798921173407734,0.5215160468779494,0.0035425884862106925,0.3784313823561348
0.25,0.1255081087876629,0.4926591338908943,0.0592121413202548,0.6519507186858317,0.5503080082135524,0.6745379876796714,-0.2006062754439171,-0.8462440656777193,0.7908906747712763,2.602964966819118,0.0564681724845995,0.4425051334702258,0.5010266940451745,0.3819301848049281,0.5523613963039015,0.0657084188911704,0.17764869326917493,0.49948632953160443,0.018568205280497158,0.2377646028349692
0.35,0.1779009345011104,0.5457589496783976,0.1062714954515113,0.6519507186858317,0.5420944558521561,0.6776180698151951,-0.3616699499982255,-0.8248835970714681,0.6560255134204535,1.3422279848712917,0.0451745379876796,0.3921971252566735,0.5626283367556468,0.3223819301848049,0.5749486652977412,0.1026694045174538,0.1253677938725108,0.45570940744033683,0.019925657880340408,0.15764507337095884
0.45,0.2310166366341197,0.5626373709494267,0.1072059662101038,0.6519507186858317,0.5174537987679672,0.6796714579055442,-0.4088801738866413,-0.7517785611791981,0.6341967832672729,1.2632081105804396,0.0390143737166324,0.37782340862423,0.5831622176591376,0.3285420944558521,0.5585215605749486,0.1129363449691991,0.11004346346446452,0.44862385169194513,0.024571465182739862,0.152623379522725
0.55,0.2839909064241712,0.5657961359460657,0.1308608869311304,0.6519507186858317,0.5369609856262834,0.6806981519507187,-0.4764841385715949,-0.410724934596177,0.4910474379438562,0.8645218210738004,0.0277207392197125,0.3932238193018481,0.5790554414784395,0.2864476386036961,0.5852156057494866,0.1283367556468172,0.08809937156236436,0.40215790248110433,0.04624534044386609,0.12728696250918328
0.65,0.3371066085571805,0.5791180085786102,0.1430946460429084,0.6519507186858317,0.5154004106776181,0.686858316221766,-0.5111864454685536,-0.4045487447925735,0.3898580578586946,0.4987825440468132,0.0349075975359342,0.3696098562628336,0.5954825462012321,0.3049281314168378,0.5400410677618069,0.1550308008213552,0.07683508232562329,0.36931206176076653,0.046637835808109804,0.10404432014881014
0.75,0.3906047018396681,0.5871504000976314,0.1707656763154471,0.6519507186858317,0.5359342915811088,0.6981519507186859,-0.5246132318289876,-0.5271895013419141,0.2884569466347494,0.1691593662842807,0.0338809034907597,0.3696098562628336,0.5965092402464066,0.2833675564681724,0.5379876796714579,0.1786447638603696,0.07247677826437045,0.3363974935983378,0.03884404547076088,0.08309684713825094
0.85,0.4429660981435696,0.5818440448037421,0.1842162744718431,0.6519507186858317,0.5205338809034907,0.686858316221766,-0.690034933835804,0.1501145746304879,0.1187082336730152,0.3749318913926798,0.0369609856262833,0.3531827515400411,0.6098562628336756,0.2628336755646817,0.5636550308008214,0.1735112936344969,0.018781273150787498,0.28129745065182443,0.08188655524716629,0.09617364120741108
0.95,0.496055609101957,0.5856979669647749,0.1978591043732875,0.6519507186858317,0.5297741273100616,0.6652977412731006,-0.5888823537570181,-0.4128990001714108,0.2096653560990239,0.0240191084663301,0.0451745379876796,0.3418891170431211,0.6129363449691991,0.2351129363449692,0.5564681724845996,0.2084188911704312,0.0516151686734484,0.3108219240014052,0.046107179103788226,0.07387321895159037
1.0,0.5249968570590453,0.5736404480252107,0.1905000603727995,0.6519507186858317,0.5400410677618069,0.7114989733059548,-0.747895087379127,0.2620166473120431,0.2682867466699733,0.1912261129125485,0.0513347022587269,0.3490759753593429,0.5995893223819302,0.2392197125256673,0.5718685831622177,0.188911704312115,0.0,0.3298502929456327,0.08899790482893394,0.08449918353511529
